index,ipa,alphabet
0,lili,leelee
1,lilej,leelaye
2,lilow,leelow
3,limi,leemee
4,limej,leemaye
5,limow,leemow
6,lini,leenee
7,linej,leenaye
8,linow,leenow
9,livi,leevee
10,livej,leevaye
11,livow,leevow
12,liði,leethey
13,liðej,lee-they
14,liðow,lee-though
15,lizi,leezee
16,lizej,leezaye
17,lizow,leezow
18,lifi,leefee
19,lifej,leefaye
20,lifow,leefow
21,lisi,leesee
22,lisej,leesaye
23,lisow,leesow
24,liʃi,leeshee
25,liʃej,leeshaye
26,liʃow,leeshow
27,libi,leebee
28,libej,leebaye
29,libow,leebow
30,lidi,leedee
31,lidej,leedaye
32,lidow,leedow
33,liɡi,leeggee
34,liɡej,leegaye
35,liɡow,leegow
36,lipi,leepee
37,lipej,leepaye
38,lipow,leepow
39,liti,leetee
40,litej,leetaye
41,litow,leetow
42,liki,leekee
43,likej,leekaye
44,likow,leeko
45,lejli,laylee
46,lejlej,laylaye
47,lejlow,laylow
48,lejmi,laymee
49,lejmej,laymaye
50,lejmow,laymow
51,lejni,laynee
52,lejnej,laynaye
53,lejnow,laynow
54,lejvi,layvee
55,lejvej,layvaye
56,lejvow,layvow
57,lejði,laythey
58,lejðej,lay-they
59,lejðow,lay-though
60,lejzi,layzee
61,lejzej,layzaye
62,lejzow,layzow
63,lejfi,layfee
64,lejfej,layfaye
65,lejfow,layfow
66,lejsi,laysee
67,lejsej,laysaye
68,lejsow,laysow
69,lejʃi,layshee
70,lejʃej,layshaye
71,lejʃow,layshow
72,lejbi,laybee
73,lejbej,laybaye
74,lejbow,laybow
75,lejdi,laydee
76,lejdej,laydaye
77,lejdow,laydow
78,lejɡi,layggee
79,lejɡej,laygaye
80,lejɡow,laygow
81,lejpi,laypee
82,lejpej,laypaye
83,lejpow,laypow
84,lejti,laytee
85,lejtej,laytaye
86,lejtow,laytow
87,lejki,laykee
88,lejkej,laykaye
89,lejkow,layko
90,lɑli,lahlee
91,lɑlej,lahlaye
92,lɑlow,lahlow
93,lɑmi,lahmee
94,lɑmej,lahmaye
95,lɑmow,lahmow
96,lɑni,lahnee
97,lɑnej,lahnaye
98,lɑnow,lahnow
99,lɑvi,lahvee
100,lɑvej,lahvaye
101,lɑvow,lahvow
102,lɑði,lahthey
103,lɑðej,lah-they
104,lɑðow,lah-though
105,lɑzi,lahzee
106,lɑzej,lahzaye
107,lɑzow,lahzow
108,lɑfi,lahfee
109,lɑfej,lahfaye
110,lɑfow,lahfow
111,lɑsi,lahsee
112,lɑsej,lahsaye
113,lɑsow,lahsow
114,lɑʃi,lahshee
115,lɑʃej,lahshaye
116,lɑʃow,lahshow
117,lɑbi,lahbee
118,lɑbej,lahbaye
119,lɑbow,lahbow
120,lɑdi,lahdee
121,lɑdej,lahdaye
122,lɑdow,lahdow
123,lɑɡi,lahggee
124,lɑɡej,lahgaye
125,lɑɡow,lahgow
126,lɑpi,lahpee
127,lɑpej,lahpaye
128,lɑpow,lahpow
129,lɑti,lahtee
130,lɑtej,lahtaye
131,lɑtow,lahtow
132,lɑki,lahkee
133,lɑkej,lahkaye
134,lɑkow,lahko
135,lowli,loelee
136,lowlej,loelaye
137,lowlow,loelow
138,lowmi,loemee
139,lowmej,loemaye
140,lowmow,loemow
141,lowni,loanee
142,lownej,loanaye
143,lownow,loanow
144,lowvi,loevee
145,lowvej,loevaye
146,lowvow,loevow
147,lowði,loethey
148,lowðej,loe-they
149,lowðow,loe-though
150,lowzi,loezee
151,lowzej,loezaye
152,lowzow,loezow
153,lowfi,loefee
154,lowfej,loefaye
155,lowfow,loefow
156,lowsi,loesee
157,lowsej,loesaye
158,lowsow,loesow
159,lowʃi,loeshee
160,lowʃej,loeshaye
161,lowʃow,loeshow
162,lowbi,loebee
163,lowbej,loebaye
164,lowbow,loebow
165,lowdi,loedee
166,lowdej,loedaye
167,lowdow,loedow
168,lowɡi,loeggee
169,lowɡej,loegaye
170,lowɡow,loegow
171,lowpi,loepee
172,lowpej,loepaye
173,lowpow,loepow
174,lowti,loetee
175,lowtej,loetaye
176,lowtow,loetow
177,lowki,loekee
178,lowkej,loekaye
179,lowkow,loeko
180,mili,meelee
181,milej,meelaye
182,milow,meelow
183,mimej,meemaye
184,mimow,meemow
185,minej,meenaye
186,mivi,meevee
187,mivej,meevaye
188,mivow,meevow
189,miði,meethey
190,miðej,mee-they
191,miðow,mee-though
192,mizi,meezee
193,mizej,meezaye
194,mizow,meezow
195,mifi,meefee
196,mifej,meefaye
197,mifow,meefow
198,misej,meesaye
199,misow,meesow
200,miʃi,meeshee
201,miʃej,meeshaye
202,mibi,meebee
203,mibej,meebaye
204,mibow,meebow
205,midej,meedaye
206,midow,meedow
207,miɡi,meeggee
208,miɡej,meegaye
209,miɡow,meegow
210,mipi,meepee
211,mipej,meepaye
212,mipow,meepow
213,mitej,meetaye
214,mitow,meetow
215,mikej,meekaye
216,mikow,meeko
217,mejli,maylee
218,mejlej,maylaye
219,mejlow,maylow
220,mejmi,maymee
221,mejmej,maymaye
222,mejmow,maymow
223,mejni,maynee
224,mejnej,maynaye
225,mejnow,maynow
226,mejvi,mayvee
227,mejvej,mayvaye
228,mejvow,mayvow
229,mejði,maythey
