index,ipa,alphabet,score_abrupt-continuous,score_beautiful-ugly,score_big-small,score_dangerous-safe,score_delicate-rugged,score_exciting-calming,score_fast-slow,score_good-bad,score_happy-sad,score_hard-soft,score_harsh-mellow,score_heavy-light,score_inhibited-free,score_interesting-uninteresting,score_masculine-feminine,score_ordinary-unique,score_passive-active,score_pleasant-unpleasant,score_realistic-fantastical,score_sharp-round,score_simple-complex,score_solid-nonsolid,score_strong-weak,score_tense-relaxed
0,lili,leelee,0.425,-0.1915,0.6216999999999999,0.2779,-0.4525,0.26065,0.1114,0.0,-0.20615,0.4445,0.4491,0.49985,0.2608,0.0,0.596965,-0.173,-0.17265000000000003,0.0,-0.1372,0.24394499999999997,-0.37559,0.3705,0.31795,0.33155
1,lilej,leelaye,0.33999999999999997,-0.1532,0.35231999999999997,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
2,lilow,leelow,0.33999999999999997,-0.1532,0.35231999999999997,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
3,limi,leemee,0.425,-0.1915,0.6216999999999999,0.2779,-0.4525,0.26065,0.1114,0.0,-0.20615,0.4445,0.4491,0.49985,0.2608,0.0,0.596965,-0.173,-0.17265000000000003,0.0,-0.1372,0.24394499999999997,-0.37559,0.3705,0.31795,0.33155
4,limej,leemaye,0.33999999999999997,-0.1532,0.35231999999999997,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
5,limow,leemow,0.33999999999999997,-0.1532,0.35231999999999997,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
6,lini,leenee,0.425,-0.1915,0.6216999999999999,0.2779,-0.4525,0.26065,0.1114,0.0,-0.20615,0.4445,0.4491,0.49985,0.2608,0.0,0.596965,-0.173,-0.17265000000000003,0.0,-0.1372,0.24394499999999997,-0.37559,0.3705,0.31795,0.33155
7,linej,leenaye,0.33999999999999997,-0.1532,0.35231999999999997,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
8,linow,leenow,0.33999999999999997,-0.1532,0.35231999999999997,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
9,livi,leevee,0.2125,-0.09575,0.49215,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.22225,0.22455,0.34185,0.1304,0.0,0.414965,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
