original_word,meaning,generated_word,model,language,trial
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Glug'sha]
[K'tharr]
[Mmm'fa]
[Sluurp'ta]
[Hoo'la]
[Grum'fel]
[Pff'toh]
[Rrr'goh]
[Shlurp'ka]",google/gemma-3-27B-it,fr,trial6
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
agaga,['marque une sensation de froid.'],"Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
aou,"[""bruit de l'aboiement d'un chien.""]","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']","Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],"Voici un vocabulaire pour une langue construite, utilisant des lettres romaines, pour le sens donné :

[Ah'hm]
[Gle'sh]
[K'tharr]
[M'roo]
[Sip'ta]
[H'lukh]
[P'tah]
[R'zha]
[T'klo]
[V'shoo]",google/gemma-3-27B-it,fr,trial6
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",").

",google/gemma-3-27B-it,fr,trial12
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",").

",google/gemma-3-27B-it,fr,trial12
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",").

",google/gemma-3-27B-it,fr,trial12
agaga,['marque une sensation de froid.'],").

",google/gemma-3-27B-it,fr,trial12
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",").

",google/gemma-3-27B-it,fr,trial12
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",").

",google/gemma-3-27B-it,fr,trial12
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",").

",google/gemma-3-27B-it,fr,trial12
aou,"[""bruit de l'aboiement d'un chien.""]",").

",google/gemma-3-27B-it,fr,trial12
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",").

",google/gemma-3-27B-it,fr,trial12
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],").

",google/gemma-3-27B-it,fr,trial12
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",Gloupsatisf,google/gemma-3-27B-it,fr,trial13
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",Gluggleth!,google/gemma-3-27B-it,fr,trial13
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",Gluggleth!,google/gemma-3-27B-it,fr,trial13
agaga,['marque une sensation de froid.'],Gluggleth!,google/gemma-3-27B-it,fr,trial13
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",Gluggleth!,google/gemma-3-27B-it,fr,trial13
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",Gluggleth!,google/gemma-3-27B-it,fr,trial13
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",Gluggleth!,google/gemma-3-27B-it,fr,trial13
aou,"[""bruit de l'aboiement d'un chien.""]",Gluggleth!,google/gemma-3-27B-it,fr,trial13
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",Gluggleth!,google/gemma-3-27B-it,fr,trial13
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],Gluggleth!,google/gemma-3-27B-it,fr,trial13
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",*Hlumph*,google/gemma-3-27B-it,fr,trial14
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",*Hlumph*,google/gemma-3-27B-it,fr,trial14
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",*Hlumph*,google/gemma-3-27B-it,fr,trial14
agaga,['marque une sensation de froid.'],*Hlumph*,google/gemma-3-27B-it,fr,trial14
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",*Hlumph*,google/gemma-3-27B-it,fr,trial14
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",*Hlumph*,google/gemma-3-27B-it,fr,trial14
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",*Hlumph*,google/gemma-3-27B-it,fr,trial14
aou,"[""bruit de l'aboiement d'un chien.""]",*Hlumph*,google/gemma-3-27B-it,fr,trial14
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",*Hlumph*,google/gemma-3-27B-it,fr,trial14
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],*Hlumph*,google/gemma-3-27B-it,fr,trial14
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",Glugsh.,google/gemma-3-27B-it,fr,trial15
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",Glugsh.,google/gemma-3-27B-it,fr,trial15
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",Glugsh.,google/gemma-3-27B-it,fr,trial15
agaga,['marque une sensation de froid.'],Glugsh.,google/gemma-3-27B-it,fr,trial15
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",Glugsh.,google/gemma-3-27B-it,fr,trial15
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",Glugsh.,google/gemma-3-27B-it,fr,trial15
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",Glugsh.,google/gemma-3-27B-it,fr,trial15
aou,"[""bruit de l'aboiement d'un chien.""]",Glugsh.,google/gemma-3-27B-it,fr,trial15
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",Glugsh.,google/gemma-3-27B-it,fr,trial15
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],Glugsh.,google/gemma-3-27B-it,fr,trial15
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",K'tharr,google/gemma-3-27B-it,fr,trial16
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",K'tharr,google/gemma-3-27B-it,fr,trial16
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",K'tharr,google/gemma-3-27B-it,fr,trial16
agaga,['marque une sensation de froid.'],K'tharr,google/gemma-3-27B-it,fr,trial16
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",K'tharr,google/gemma-3-27B-it,fr,trial16
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",K'tharr,google/gemma-3-27B-it,fr,trial16
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",K'tharr,google/gemma-3-27B-it,fr,trial16
aou,"[""bruit de l'aboiement d'un chien.""]",K'tharr,google/gemma-3-27B-it,fr,trial16
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",K'tharr,google/gemma-3-27B-it,fr,trial16
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],K'tharr,google/gemma-3-27B-it,fr,trial16
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",ahhh,google/gemma-3-27B-it,fr,trial17
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",ahhh,google/gemma-3-27B-it,fr,trial17
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",ahhh,google/gemma-3-27B-it,fr,trial17
agaga,['marque une sensation de froid.'],ahhh,google/gemma-3-27B-it,fr,trial17
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",ahhh,google/gemma-3-27B-it,fr,trial17
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",ahhh,google/gemma-3-27B-it,fr,trial17
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",ahhh,google/gemma-3-27B-it,fr,trial17
aou,"[""bruit de l'aboiement d'un chien.""]",ahhh,google/gemma-3-27B-it,fr,trial17
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",ahhh,google/gemma-3-27B-it,fr,trial17
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],ahhh,google/gemma-3-27B-it,fr,trial17
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",kh'aash,google/gemma-3-27B-it,fr,trial18
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",kh'arrgh,google/gemma-3-27B-it,fr,trial18
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",kh'arrgh,google/gemma-3-27B-it,fr,trial18
agaga,['marque une sensation de froid.'],kh'arrgh,google/gemma-3-27B-it,fr,trial18
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",kh'arrgh,google/gemma-3-27B-it,fr,trial18
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",kh'arrgh,google/gemma-3-27B-it,fr,trial18
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",kh'arrgh,google/gemma-3-27B-it,fr,trial18
aou,"[""bruit de l'aboiement d'un chien.""]",kh'arrgh,google/gemma-3-27B-it,fr,trial18
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",kh'arrgh,google/gemma-3-27B-it,fr,trial18
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],kh'arrgh,google/gemma-3-27B-it,fr,trial18
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",shlürkh,google/gemma-3-27B-it,fr,trial19
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",kh'al'thok,google/gemma-3-27B-it,fr,trial19
acz acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",kh'al'thok,google/gemma-3-27B-it,fr,trial19
agaga,['marque une sensation de froid.'],kh'al'thok,google/gemma-3-27B-it,fr,trial19
ah,"['Marque un sentiment vif (plaisir, douleur, admiration, impatience, etc.).', ""Interjection d'insistance, de renforcement."", 'Sert à transcrire le rire.']",kh'al'thok,google/gemma-3-27B-it,fr,trial19
ahan,"[""accompagne un élan lorsqu'on porte un coup.""]",kh'al'thok,google/gemma-3-27B-it,fr,trial19
ahouahou,"[""Exclamation de douleur ou onomatopée imitant le bâillement, l'aboiement""]",kh'al'thok,google/gemma-3-27B-it,fr,trial19
aou,"[""bruit de l'aboiement d'un chien.""]",kh'al'thok,google/gemma-3-27B-it,fr,trial19
aouah,"['pour se récrier ou, plus souvent, paraître se récrier.']",kh'al'thok,google/gemma-3-27B-it,fr,trial19
are-are,['premiers sons du language émis par un bébé en signe de bien-être.'],kh'al'thok,google/gemma-3-27B-it,fr,trial19
ach,"[""bruit marquant la satisfaction d'une personne après qu'elle a bu.""]",Ah'shaa,google/gemma-3-27B-it,fr,trial20
acz,"['pour exciter un chien à attaquer, à mordre.', 'pour exciter une personne contre une autre.']",Ah'shaa,google/gemma-3-27B-it,fr,trial20
