lee-lay	L IY0 L EY0
lee-lah	L IY0 L AA0
lee-lo	L IY0 L OW0
lee-may	L IY0 M EY0
lee-mah	L IY0 M AA0
lee-mo	L IY0 M OW0
lee-nay	L IY0 N EY0
lee-nah	L IY0 N AA0
lee-vay	L IY0 V EY0
lee-vah	L IY0 V AA0
lee-vo	L IY0 V OW0
leethey	L IY0 DH IY0
lee-they	L IY0 DH EY0
lee-though	L IY0 DH OW0
lee-zee	L IY0 Z IY0
lee-zay	L IY0 Z EY0
lee-zah	L IY0 Z AA0
lee-zo	L IY0 Z OW0
lee-fay	L IY0 F EY0
lee-fah	L IY0 F AA0
lee-say	L IY0 S EY0
lee-sah	L IY0 S AA0
lee-so	L IY0 S OW0
lee-shee	L IY0 SH IY0
lee-shay	L IY0 SH EY0
lee-shah	L IY0 SH AA0
lee-sho	L IY0 SH OW0
lee-bay	L IY0 B EY0
lee-bah	L IY0 B AA0
lee-dah	L IY0 D AA0
lee-gay	L IY0 G EY0
lee-gah	L IY0 G AA0
lee-go	L IY0 G OW0
lee-pee	L IY0 P IY0
lee-pay	L IY0 P EY0
lee-pah	L IY0 P AA0
lee-po	L IY0 P OW0
lee-tee	L IY0 T IY0
lee-tay	L IY0 T EY0
lee-tah	L IY0 T AA0
lee-kay	L IY0 K EY0
lee-kah	L IY0 K AA0
lay-lee	L EY0 L IY0
lay-lay	L EY0 L EY0
lay-lo	L EY0 L OW0
lay-may	L EY0 M EY0
lay-mah	L EY0 M AA0
lay-mo	L EY0 M OW0
lay-nay	L EY0 N EY0
lay-nah	L EY0 N AA0
lay-vay	L EY0 V EY0
lay-vah	L EY0 V AA0
laythey	L EY0 DH IY0
lay-they	L EY0 DH EY0
lay-though	L EY0 DH OW0
lay-zay	L EY0 Z EY0
lay-zo	L EY0 Z OW0
lay-fee	L EY0 F IY0
lay-fay	L EY0 F EY0
lay-fah	L EY0 F AA0
lay-fo	L EY0 F OW0
lay-say	L EY0 S EY0
lay-sah	L EY0 S AA0
lay-so	L EY0 S OW0
lay-shee	L EY0 SH IY0
lay-shay	L EY0 SH EY0
lay-shah	L EY0 SH AA0
lay-sho	L EY0 SH OW0
lay-bee	L EY0 B IY0
lay-bay	L EY0 B EY0
lay-bah	L EY0 B AA0
lay-day	L EY0 D EY0
lay-dah	L EY0 D AA0
lay-ghee	L EY0 G IY0
lay-gay	L EY0 G EY0
lay-gah	L EY0 G AA0
lay-go	L EY0 G OW0
lay-pee	L EY0 P IY0
lay-pay	L EY0 P EY0
lay-pah	L EY0 P AA0
lay-po	L EY0 P OW0
lay-tay	L EY0 T EY0
lay-tah	L EY0 T AA0
lay-toe	L EY0 T OW0
lay-kay	L EY0 K EY0
lay-kah	L EY0 K AA0
lay-ko	L EY0 K OW0
lah-lay	L AA0 L EY0
lah-lah	L AA0 L AA0
lah-lo	L AA0 L OW0
lah-mee	L AA0 M IY0
lah-may	L AA0 M EY0
lah-mah	L AA0 M AA0
lah-mo	L AA0 M OW0
lah-nay	L AA0 N EY0
lah-nah	L AA0 N AA0
lah-vay	L AA0 V EY0
lah-vah	L AA0 V AA0
lah-vo	L AA0 V OW0
lahthey	L AA0 DH IY0
lah-they	L AA0 DH EY0
lah-though	L AA0 DH OW0
lah-zee	L AA0 Z IY0
lah-zay	L AA0 Z EY0
lah-zah	L AA0 Z AA0
lah-fee	L AA0 F IY0
lah-fay	L AA0 F EY0
lah-fah	L AA0 F AA0
lah-fo	L AA0 F OW0
lah-say	L AA0 S EY0
lah-sah	L AA0 S AA0
lah-so	L AA0 S OW0
lah-shee	L AA0 SH IY0
lah-shay	L AA0 SH EY0
lah-shah	L AA0 SH AA0
