a	AH0
achoo	AE0 CH UW0
atishoo	T IH0 SH UW0
atichoo	AE0 T IH0 K UW0
ahem	AH0 HH EH0 M
ai	AA0 Y
aie	EY0 Y IY0
alew	EY0 Y L UW0
arf	AA0 R F
argh	AA0 R G
aw	AO0
bada-bing	B AA0 D AH0 B IH0 NG
bam	B AE0 M
bangarang	B AE0 NG G AA0 R AE0 NG
baw	B AO0
baw-waw	B AO0 W AO0
beep	B IY0 P
bewh	B IH0 W
biff	B IH0 F
bing	B IH0 NG
bingo	B IH0 NG G OW0 W
birl	B ER0 L
bish	B IH0 SH
blad	B L AE0 D
blah	B L AA0
blash	B L AE0 SH
blat	B L AE0 T
blea	B L IY0
blear	B L ER0
bleep	B L IY0 P
bling	B AH0 L IH0 NG
blip	B L IH0 P
blizzard	B L IH0 Z ER0 D
blodge	B L AA0 JH
bloop	B L UW0 P
blotch	B L AA0 CH
blout	B L AA0 W T
bluff	B L AH0 F
blumbering	B L AH0 M B ER0 IH0 NG
blunge	B L AH0 N JH
blurt	B L ER0 T
bluther	B L AH0 TH ER0
bob	B AA0 B
boffo	B AO0 F OW0 W
boing	B OW0 W IH0 NG
boink	B OW0 Y NG K
bom	B AA0 M
bong	B AA0 NG
bonk	B AA0 NG K
boom	B UW0 M
bop	B AA0 P
bosh	B AA0 SH
bow-wow	B AA0 W W AA0 W
brash	B R AE0 SH
brattle	B R AE0 T AH0 L
brr-brr	B R B R
brrr	B R
brum	B R AH0 M
bruzz	B R AH0 T S
buff	B AH0 F
bum	B AH0 M
bumble	B AH0 M B AH0 L
bump	B AH0 M P
bunch	B AH0 N CH
bung	B AH0 NG
bungle	B AH0 NG G AH0 L
burp	B ER0 P
burr	B ER0
buzz	B AH0 Z
buzzle	B AH0 Z AH0 L
byss	B IH0 S
cangle	K AE0 NG G AH0 L
cank	K AE0 NG K
caw	K AO0
cawk	K AO0 K
chack	CH AE0 K
chack-chack	CH AE0 K CH AE0 K
chang	CH AE0 NG
channer	CH AE0 N ER0
chatter	CH AE0 T ER0
cheep	CH IY0 P
cheet	CH IY0 T
che-ho	CH EY0 Y HH OW0 W
chick	CH IH0 K
chicker	CH IH0 K ER0
chink	CH IH0 NG K
chirl	CH IH0 ER0 L
chit	CH IH0 T
chock	CH AA0 K
choo-choo	CH UW0 CH UW0
chuck	CH AH0 K
chuckle	CH AH0 K AH0 L
chud	CH UW0 D
chuff	SH AH0 F
chug	CH AH0 G
chug-a-lug	CH AH0 G AH0 L AH0 G
chunk	CH AH0 NG K
chunter	CH AH0 N T ER0
churr	CH ER0
chutter	CH AH0 T ER0
chymer	CH AA0 Y M ER0
clam	K L AE0 M
clamp	K L AE0 M P
clash	K L AE0 SH
click	K L IH0 K
clippety-clop	K L IH0 P T IY0 K L AA0 P
clobber	K L AA0 B ER0
clondre	K L AH0 N D R
clonk	K L AA0 NG K
cloop	K L UW0 P
clop	K L AA0 P
cluck	K L AH0 K
clucker	K L AH0 K ER0
clunk	K L AH0 NG K
conck	K AH0 NG K
coo	K UW0
cooee	K UW0 IY0
crank	K R AE0 NG K
crash	K R AE0 SH
craw	K R AO0
