ach	a ʃ
acz	a k
acz acz	a k z a k
agaga	a ɡ a ɡ a
ah	a
ahan	a ɑ̃
ahouahou	a w a u
aou	a u
aouah	a w a
are-are	a ʁ ə a ʁ
areu-areu	a ʁ ə y a ʁ ø
areuh-areuh	a ʁ ə y a ʁ ə y
argh	a ʁ ɡ
atcha	a t ʃ a
atchedeu	a t ʃ ə d ø
atchi	a t ʃ i
atchim	a t ʃ ɛ̃
atchou	a t ʃ u
atchoum	a t ʃ u m
atchum	a t ʃ ɛ̃
atzoum	a t z u m
aï aï	a i a i
aïe	a i
baba	b a b a
babiller	b a b i j ə ʁ
badabam	b a d a b ɑ̃
badabang	b a d a b ɑ̃ ɡ
badabiam	b a d a b j ɑ̃
badabing	b a d a b ɛ̃ ɡ
badaboum	b a d a b u m
badaboumer	b a d a b u m ə ʁ
badabraoum	b a d a b ʁ a u m
badadam	b a d a d ɑ̃
badadang	b a d a d ɑ̃ ɡ
badading	b a d a d ɛ̃ ɡ
badam	b a d ɑ̃
baffe	b a f
bagadam	b a ɡ a d ɑ̃
bah	b a
bais	b ɛ s
bam	b ɑ̃
baou baou	b a u b a u
baoum	b a u m
baound	b a u n
baradaboum	b a ʁ a d a b u m
bei	b ə i
beng	b ɑ̃ ɡ
berk	b ɛ ʁ k
beuark	b ə ɥ a ʁ k
beuh	b ə y
beuouah	b ə y w a
beurck	b œ ʁ k k
beurk	b œ ʁ k
beurp	b œ ʁ
bff	b f
bim	b ɛ̃
bing	b ɛ̃ ɡ
bip	b i
birk	b i ʁ k
bistanclac	b i s t ɑ̃ k l a k
bla bla bla	b l a b l a b l a
blabla	b l a b l a
blam	b l ɑ̃
blang	b l ɑ̃ ɡ
bling	b l ɛ̃ ɡ
blop	b l o
blouf	b l u f
bloum	b l u m
bloup	b l u
blp	b l p
blub	b l y b
blurp	b l y ʁ
bof	b ɔ f
bom	b ɔ̃
bong	b ɔ̃ ɡ
boom	b ɔ ɔ̃
bou bou	b u b u
bouac	b w a k
bouah	b w a
bouah-hou	b w a u
bouf	b u f
bouh	b u
boum	b u m
boum tchac	b u m t ʃ a k
boun	b u n
boung	b u ŋ
bour	b u ʁ
boïng	b o i ŋ
braou	b ʁ a u
braoum	b ʁ a u m
brek brek	b ʁ ə k b ʁ ə k
brekekex	b ʁ ə k ə k ɛ
brom	b ʁ ɔ̃
brou	b ʁ u
brouaou	b ʁ w a u
brouaoum	b ʁ w a u m
brouhaha	b ʁ u a a
broum	b ʁ u m
broun	b ʁ u n
brr	b ʁ ʁ
brrr	b ʁ ʁ ʁ
brum	b ʁ ɛ̃
brékèke	b ʁ e k ə k
brékékex	b ʁ e k e k ɛ
bsing	b s ɛ̃ ɡ
bss bss	b s b s
bst	b s t
buah	b ɥ a
buark	b ɥ a ʁ k
burp	b y ʁ
buzz	b y z
bvlof	b v l ɔ f
bvreum	b v ʁ œ m
bzee	b z ə
bzeuh	b z ə y
bzi	b z i
bzim	b z ɛ̃
bzing	b z ɛ̃ ɡ
bzoïng	b z o i ŋ
bzz	b z z
bzzz	b z z z
bè	b ɛ
bé	b e
bégueter	b e ɡ t ə ʁ
bêêx	b ə ə
cacarder	k a k a ʁ d ə ʁ
cancan	k ɑ̃ k ɑ̃
ch	ʃ
ch ch	ʃ ʃ
chac	ʃ a k
chac boum	ʃ a k b u m
chlag	ʃ l a ɡ
chlaque	ʃ l a k
chloup	ʃ l u
chlup	ʃ l y
choucas	ʃ u k a
choum	ʃ u m
chplurtz	ʃ p l y ʁ t
chtac	ʃ t a k
chtoc	ʃ t ɔ k
chtong	ʃ t ɔ̃ ɡ
chtonk	ʃ t ɔ̃ k
chtuck	ʃ t y k k
chu	ʃ y
chuinter	ʃ ɥ ɛ̃ t ə ʁ
chut chut	ʃ y t ʃ y
clac	k l a k
clac cloc	k l a k k l ɔ k
clanc	k l ɑ̃ k
clanc clonc	k l ɑ̃ k k l ɔ̃ k
clang	k l ɑ̃ ɡ
clap	k l a
claquer	k l a k ə ʁ
cli cli	k l i k l i
cli cli clic	k l i k l i k l i k
cli clic	k l i k l i k
clic	k l i k
clic et clac	k l i k ə t k l a k
clic-clac	k l i k k l a k
clic-cloc	k l i k k l ɔ k
clinc	k l ɛ̃ k
cling	k l ɛ̃ ɡ
clip clap	k l i p k l a
clip clop	k l i p k l o
cliquer	k l i k ə ʁ
cloc	k l ɔ k
clock	k l ɔ k k
clonc	k l ɔ̃ k
clong	k l ɔ̃ ɡ
clop	k l o
clouc	k l u k
cloup	k l u
coa	k ɔ a
coaque	k ɔ a k
coasser	k ɔ a s ə ʁ
cocorico	k ɔ k ɔ ʁ i k o
cocorikè	k ɔ k ɔ ʁ i k ə
coin-coin	k w a n k ɔ ɛ̃
coincoin	k ɔ ɛ̃ k ɔ ɛ̃
coquerico	k ɔ k ə ʁ i k o
corlui	k ɔ ʁ l ɥ i
cot cot	k ɔ t k o
cot cot codec	k ɔ t k ɔ t k ɔ d ə k
coua	k w a
couac	k w a k
couan couan	k w a n k u ɑ̃
coucourou	k u k u ʁ u
coui coui	k w i k w i
couin-cou	k w i n k u
couin-couin	k w i n k w ɛ̃
couique	k w i k
coureli	k u ʁ ə l i
couroucou	k u ʁ u k u
cra cra	k ʁ a k ʁ a
craaac	k ʁ a a a k
crac	k ʁ a k
crac crac	k ʁ a k k ʁ a k
cran	k ʁ ɑ̃
crc cr	k ʁ k k ʁ
cree	k ʁ ə
cri-cri	k ʁ i k ʁ i
cric	k ʁ i k
cric crac	k ʁ i k k ʁ a k
crin crin	k ʁ i n k ʁ ɛ̃
crincrin	k ʁ ɛ̃ k ʁ ɛ̃
criss-criss	k ʁ i s k ʁ i s
croa	k ʁ ɔ a
croa croa	k ʁ ɔ a k ʁ ɔ a
croac	k ʁ ɔ a k
croasser	k ʁ ɔ a s ə ʁ
croc	k ʁ ɔ k
crou-crou	k ʁ u k ʁ u
crouic	k ʁ w i k
crouler	k ʁ u l ə ʁ
crunch	k ʁ ɛ̃ ʃ
css css	k s k s
cui-cui	k ɥ i k ɥ i
cuic	k ɥ i k
cuit cuit	k ɥ i t k ɥ i
cx cx	k k s k k s
cz cz	k z k z
côâc	k o a k
dan	d ɑ̃
derling	d ɛ ʁ l ɛ̃ ɡ
di din don	d i d i n d ɔ̃
dia	d j a
dig	d i ɡ
dig dong	d i ɡ d ɔ̃ ɡ
dign	d i ɲ
diligne	d i l i ɲ
diling	d i l ɛ̃ ɡ
dilink	d i l ɛ̃ k
din	d ɛ̃
din don	d i n d ɔ̃
ding	d ɛ̃ ɡ
ding-dang	d ɛ̃ ɡ d ɑ̃ ɡ
ding-dom	d ɛ̃ ɡ d ɔ̃
ding-dong	d ɛ̃ ɡ d ɔ̃ ɡ
direling	d i ʁ ə l ɛ̃ ɡ
dling	d l ɛ̃ ɡ
dong	d ɔ̃ ɡ
