あーん	aː ɴ
あけらかん	a k e ɾ a k a ɴ
あざあざ	a z aː z a
あたふた	a t a ɸ ɯ t a
あっけらかん	a k k e ɾ a k a ɴ
あっさり	a s s a ɾʲ i
あっぷあっぷ	a p p ɯ a p p ɯ
あはは	a h a h a
あぶあぶ	a b ɯ a b ɯ
あぷあぷ	a p ɯ a p ɯ
あんあん	a ɰ̃ a ɴ
あんぐり	a ŋ ɡ ɯ ɾʲ i
いがいが	i ɡ a i ɡ a
いけしゃーしゃー	i k e ɕ aː ɕ aː
いじいじ	i ʑ iː ʑ i
いそいそ	i s o i s o
いちゃいちゃ	i tɕ a i tɕ a
いひひ	i ç i ç i
いらいら	i ɾ a i ɾ a
うー	ɯː
うーん	ɯː ɴ
うかうか	ɯ k a ɯ k a
うかと	ɯ k a t o
うきうき	ɯ c i ɯ c i
うざうざ	ɯ z a ɯ z a
うじうじ	ɯ ʑ i ɯ ʑ i
うじゃうじゃ	ɯ ʑ a ɯ ʑ a
うずうず	ɯ z ɯː z ɯ
うだうだ	ɯ d a ɯ d a
うっ	ɯ ʔ
うっかり	ɯ k k a ɾʲ i
うっすら	ɯ s s ɯ ɾ a
うっすり	ɯ s s ɯ ɾʲ i
うっとり	ɯ t t o ɾʲ i
うつらうつら	ɯ ts ɯ ɾ a ɯ ts ɯ ɾ a
うとうと	ɯ t o ɯ t o
うねうね	ɯ n e ɯ n e
うはうは	ɯ h a ɯ h a
うふふ	ɯ ɸ ɯ ɸ ɯ
うようよ	ɯ j o ɯ j o
うらうら	ɯ ɾ a ɯ ɾ a
うるうる	ɯ ɾ ɯː ɾ ɯ
うるっ	ɯ ɾ ɯ ʔ
うろうろ	ɯ ɾ o ɯ ɾ o
うろちょろ	ɯ ɾ o tɕ o ɾ o
うん	ɯ ɴ
うんうん	ɯ ɰ̃ ɯ ɴ
うんざり	ɯ n dz a ɾʲ i
えっちらおっちら	e t tɕ i ɾ a o t tɕ i ɾ a
えへへ	e h e h e
えへらえへら	e h e ɾ a e h e ɾ a
えへん	e h e ŋ
えんえん	e ɰ̃ e ŋ
おいおい	o i o i
おうおう	o ɯ o ɯ
おぎゃー	o ɟ aː
おずおず	o z ɯ o z ɯ
おたおた	o t a o t a
おちおち	o tɕ i o tɕ i
おっとり	o t t o ɾʲ i
おどおど	o d oː d o
おぼおぼ	o b oː b o
おほほ	o h o h o
おめおめ	o m e o m e
おろおろ	o ɾ oː ɾ o
おんおん	o ɰ̃ o ɴ
かー	k aː
かーかー	k aː k aː
がーがー	ɡ aː ɡ aː
かーん	k aː ɴ
がーん	ɡ aː ɴ
かいよ	k a i j o
がくがく	ɡ a k ɯ ɡ a k ɯ
がくっ	ɡ a k ɯ ʔ
がくり	ɡ a k ɯ ɾʲ i
がくん	ɡ a k ɯ ɴ
かさかさ	k a s a k a s a
がさがさ	ɡ a s a ɡ a s a
かさこそ	k a s a k o s o
がさごそ	ɡ a s a ɡ o s o
がさり	ɡ a s a ɾʲ i
がしがし	ɡ a ɕ i ɡ a ɕ i
がじがじ	ɡ a ʑ i ɡ a ʑ i
がしっ	ɡ a ɕ i ʔ
がしゃがしゃ	ɡ a ɕ a ɡ a ɕ a
がしゃん	ɡ a ɕ a ɴ
かすかす	k a s ɯ k a s ɯ
がた	ɡ a t a
かたかた	k a t a k a t a
がたがた	ɡ a t a ɡ a t a
がたくり	ɡ a t a k ɯ ɾʲ i
かたこと	k a t a k o t o
がたごと	ɡ a t a ɡ o t o
がたぴし	ɡ a t a pʲ i ɕ i
がたぴち	ɡ a t a pʲ i tɕ i
かたり	k a t a ɾʲ i
がたり	ɡ a t a ɾʲ i
かたん	k a t a ɴ
がたん	ɡ a t a ɴ
かちかち	k a tɕ i k a tɕ i
がちがち	ɡ a tɕ i ɡ a tɕ i
かちっ	k a tɕ i ʔ
がちっ	ɡ a tɕ i ʔ
がちゃ	ɡ a tɕ a
かちゃかちゃ	k a tɕ a k a tɕ a
がちゃがちゃ	ɡ a tɕ a ɡ a tɕ a
かちゃっ	k a tɕ a ʔ
がちゃっ	ɡ a tɕ a ʔ
かちゃり	k a tɕ a ɾʲ i
がちゃり	ɡ a tɕ a ɾʲ i
かちゃん	k a tɕ a ɴ
がちゃん	ɡ a tɕ a ɴ
かちり	k a tɕ i ɾʲ i
がちり	ɡ a tɕ i ɾʲ i
かちん	k a tɕ i ŋ
がちん	ɡ a tɕ i ŋ
かちんかちん	k a tɕ i ŋ k a tɕ i ŋ
かっ	k a ʔ
がっ	ɡ a ʔ
かっか	k a k k a
かっかっ	k a k k a ʔ
かつかつ	k a ts ɯ k a ts ɯ
がつがつ	ɡ a ts ɯ ɡ a ts ɯ
がっかり	ɡ a k k a ɾʲ i
かっきり	k a c c i ɾʲ i
がっくり	ɡ a k k ɯ ɾʲ i
がっしり	ɡ a ɕ ɕ i ɾʲ i
がったり	ɡ a t t a ɾʲ i
かったん	k a t t a ɴ
がっちゃん	ɡ a t tɕ a ɴ
かっちり	k a t tɕ i ɾʲ i
がっちり	ɡ a t tɕ i ɾʲ i
がっぷり	ɡ a p p ɯ ɾʲ i
がっぽがっぽ	ɡ a p p o ɡ a p p o
がっぽり	ɡ a p p o ɾʲ i
がつん	ɡ a ts ɯ ɴ
かなかな	k a n a k a n a
がばがば	ɡ a b a ɡ a b a
がはは	ɡ a h a h a
がばり	ɡ a b a ɾʲ i
がぶがぶ	ɡ a b ɯ ɡ a b ɯ
がぶっ	ɡ a b ɯ ʔ
がぶり	ɡ a b ɯ ɾʲ i
