original_meaning,original_word,generated_word,trial,model,language,words_per_meaning
목구멍에 가래가 조금씩 자꾸 걸리는 소리.,갸릉갸릉,흰색거품,trial10,Qwen/Qwen3-4B,ko,2
목구멍에 가래가 조금씩 자꾸 걸리는 소리.,갸릉갸릉,목구멍에가래가조금씩자꾸걸리는소리,trial10,Qwen/Qwen3-4B,ko,2
성가실 정도로 끈덕지게 잇따라 귀찮게 구는 모양.,찌근덕찌근덕,우리마,trial10,Qwen/Qwen3-4B,ko,2
성가실 정도로 끈덕지게 잇따라 귀찮게 구는 모양.,찌근덕찌근덕,성가실정도로끈덕지게잇따라귀찮게구는모양,trial10,Qwen/Qwen3-4B,ko,2
큰 그릇 따위에 그득 찬 액체가 넘칠 듯이 자꾸 흔들리는 모양. 또는 흔들리면서 자꾸 넘쳐흐르는 모양.,칠럼칠럼,일본어,trial10,Qwen/Qwen3-4B,ko,2
큰 그릇 따위에 그득 찬 액체가 넘칠 듯이 자꾸 흔들리는 모양. 또는 흔들리면서 자꾸 넘쳐흐르는 모양.,칠럼칠럼,자우리,trial10,Qwen/Qwen3-4B,ko,2
가늘거나 작은 물건들 가운데서 몇 개가 드러나게 굵거나 큰 모양.,디글디글,가늘거나작은물건들가운데서몇개가드러나게굵거나큰모양,trial10,Qwen/Qwen3-4B,ko,2
가늘거나 작은 물건들 가운데서 몇 개가 드러나게 굵거나 큰 모양.,디글디글,생성된어휘,trial10,Qwen/Qwen3-4B,ko,2
그릇에 담긴 액체가 자꾸 넘칠 듯이 흔들리는 모양. 또는 자꾸 흔들리면서 넘쳐흐르는 모양.,철럼철럼,그릇에담긴액체가자꾸넘칠듯이흔들리는모양또는자꾸흔들리면서넘쳐흐르는모양예시물기,trial10,Qwen/Qwen3-4B,ko,2
그릇에 담긴 액체가 자꾸 넘칠 듯이 흔들리는 모양. 또는 자꾸 흔들리면서 넘쳐흐르는 모양.,철럼철럼,담액,trial10,Qwen/Qwen3-4B,ko,2
