word,meaning,ref
あーん,,暮らしのことば　擬音・擬態語辞典
あけらかん,,暮らしのことば　擬音・擬態語辞典
あざあざ,,暮らしのことば　擬音・擬態語辞典
あたふた,,暮らしのことば　擬音・擬態語辞典
あっけらかん,,暮らしのことば　擬音・擬態語辞典
あっさり,,暮らしのことば　擬音・擬態語辞典
あっはっは,,暮らしのことば　擬音・擬態語辞典
あっぷあっぷ,,暮らしのことば　擬音・擬態語辞典
あはは,,暮らしのことば　擬音・擬態語辞典
あはははは,,暮らしのことば　擬音・擬態語辞典
あぶあぶ,,暮らしのことば　擬音・擬態語辞典
あぷあぷ,,暮らしのことば　擬音・擬態語辞典
あんあん,,暮らしのことば　擬音・擬態語辞典
あんぐり,,暮らしのことば　擬音・擬態語辞典
いがいが,,暮らしのことば　擬音・擬態語辞典
いけしゃーしゃー,,暮らしのことば　擬音・擬態語辞典
いじいじ,,暮らしのことば　擬音・擬態語辞典
いそいそ,,暮らしのことば　擬音・擬態語辞典
いちゃいちゃ,,暮らしのことば　擬音・擬態語辞典
いひひ,,暮らしのことば　擬音・擬態語辞典
いらいら,,暮らしのことば　擬音・擬態語辞典
うー,,暮らしのことば　擬音・擬態語辞典
うーっ,,暮らしのことば　擬音・擬態語辞典
うーむ,,暮らしのことば　擬音・擬態語辞典
うーん,,暮らしのことば　擬音・擬態語辞典
うえーん,,暮らしのことば　擬音・擬態語辞典
うおー,,暮らしのことば　擬音・擬態語辞典
うおーっ,,暮らしのことば　擬音・擬態語辞典
うおーん,,暮らしのことば　擬音・擬態語辞典
うかうか,,暮らしのことば　擬音・擬態語辞典
うかと,,暮らしのことば　擬音・擬態語辞典
うきうき,,暮らしのことば　擬音・擬態語辞典
うざうざ,,暮らしのことば　擬音・擬態語辞典
うじうじ,,暮らしのことば　擬音・擬態語辞典
うじゃうじゃ,,暮らしのことば　擬音・擬態語辞典
うずうず,,暮らしのことば　擬音・擬態語辞典
うだうだ,,暮らしのことば　擬音・擬態語辞典
うっ,,暮らしのことば　擬音・擬態語辞典
うっかり,,暮らしのことば　擬音・擬態語辞典
うっすら,,暮らしのことば　擬音・擬態語辞典
