aah	ha ha	a a
ach	hach	a ʃ
ah	hap	a
ahou	aou	a u
bang	beng	b ɑ̃ ɡ
baoun	baound	b a u n
berk	berque	b ɛ ʀ k
chlac	chlaque	ʃ l a k
chu	chut	ʃ y
couic	couique	k w i k
croa	croâ	k ʀ ɔ a
css css	kss kss	k s k s
cui cui	cuicui	k ɥ i k ɥ i
dzim	dzin	d z ɛ̃
euh	euhe	ə y
ffh	ph	f
ffue	fu	f y
ffue	phut	f y
fu	phut	f y
fla	flap	f l a
fout	phou	f u
frou	frout	f ʀ u
fui	phui	f ɥ i
glup	glups	ɡ l y
ham	han	ɑ̃
ham	hem	ɑ̃
han	hem	ɑ̃
hein	hin	ɛ̃
heu	heue	ø
hi	hips	i
hmm	mmh	m
hmmm	mmm	m m
ho	hop	o
hou	houp	u
hou	houps	u
hou	ouh	u
hou	ouhe	u
hou	oups	u
houp	houps	u
houp	ouh	u
houp	ouhe	u
houp	oups	u
houps	ouh	u
houps	ouhe	u
houps	oups	u
ouh	ouhe	u
ouh	oups	u
ouhe	oups	u
hou hou	ouh ouh	u u
houâ	oua	w a
houâ	ouah	w a
houâ	wah	w a
oua	ouah	w a
oua	wah	w a
ouah	wah	w a
hu	hue	y
hu	hû	y
hu	uh	y
hue	hû	y
hue	uh	y
hû	uh	y
miaou	miaoux	m j a u
ouaf	waf	w a f
ouah-ouah	wa-wa	w a - w a
ouaou	ouaouh	w a u
ouaou	waouh	w a u
ouaouh	waouh	w a u
ouarf	wharf	w a ʀ f
pam	pan	p ɑ̃
patatra	patatras	p a t a t ʀ a
pfu	pfut	p f y
pfui	pfuit	p f ɥ i
pif paf	pif, paf	p i f p a f
pla	plap	p l a
pop	pot	p o
pout	pouêt	p u
prou	prout	p ʀ u
pschi	pschit	p s ʃ i
psh	pss	p s
psht	psst	p s t
psht	pst	p s t
psst	pst	p s t
psi	psit	p s i
ra	rah	ʀ a
ran	rhan	ʀ ɑ̃
tchi	tchip	t ʃ i
tchi	tchit	t ʃ i
tchip	tchit	t ʃ i
ti	tit	t i
tic	tique	t i k
top	tot	t o
tsim	tsin	t s ɛ̃
tu tu	tû tû	t y t y
tut	tût	t y
vlam	vlan	v l ɑ̃
vrouh	vrout	v ʀ u
vzi	vzy	v z i
wao	whao	w a o
whou	wou	w u
whou	woups	w u
wou	woups	w u
zi	zip	z i
zim	zimz	z ɛ̃
zwip	zwit	z w i
zwip	zwiz	z w i
zwit	zwiz	z w i
