Entry,Definition,ref
a,"Expressing invocation, surprise,  or admiration; (also) used to gain attention.",Rhyme Over Reason : Phonological Motivation in English
achoo,Representing the sound of a sneeze.,Rhyme Over Reason : Phonological Motivation in English
atishoo,Representing the sound of a sneeze.,Rhyme Over Reason : Phonological Motivation in English
atichoo,Representing the sound of a sneeze.,Rhyme Over Reason : Phonological Motivation in English
ahem,"An exclamation representing a slight cough or clearing of the throat, used (a) to attract attention, esp. prior to speaking (b) to express hesitation, (mock) disapproval, embarrassment, suggestiveness, etc.",Oxford English Dictionary
ai,"An exclamation of surprise, regret, pain, etc., often used in imitation of foreign speakers of English.",Rhyme Over Reason : Phonological Motivation in English
aie,"Awailing exclamation of resignation, surprise, regret, alarm, etc.; sometimes imitative of non-British speakers of English.",Rhyme Over Reason : Phonological Motivation in English
alew,A cry of sorrow or lamentation.,Rhyme Over Reason : Phonological Motivation in English
arf,"Representing the bark of a (small) dog, or a human imitation of such a bark.",Rhyme Over Reason : Phonological Motivation in English
argh,"Expressing pain or fright; (also) expressing anguish, disappointment, or frustration.",Rhyme Over Reason : Phonological Motivation in English
aw,"An exclamation usually expressing mild remonstrance, entreaty, commiseration, disgust, or disapproval.",Rhyme Over Reason : Phonological Motivation in English
bada-bing,"Suggesting something happening suddenly, emphatically, or easily and predictably.",Rhyme Over Reason : Phonological Motivation in English
bam,An interjection imitating the sound of a hard blow.,Rhyme Over Reason : Phonological Motivation in English
bangarang,Commotion or uproar; a disturbance; a loud argument.,Oxford English Dictionary
baugh,"To bark, as a dog.",Rhyme Over Reason : Phonological Motivation in English
baw,"To bark, as a dog.",Rhyme Over Reason : Phonological Motivation in English
baw-waw,The barking of a dog.,Rhyme Over Reason : Phonological Motivation in English
bebop,,
beep,"The sound made by a horn on a motor car or other vehicle; a short high-pitched sound such as is emitted by an echo-sounder, a radar device, etc.",Rhyme Over Reason : Phonological Motivation in English
beep,To sound (a horn); to make (something) emit a short high-pitched sound.,Rhyme Over Reason : Phonological Motivation in English
bewh,"To bark in a thin voice, to yelp.",Rhyme Over Reason : Phonological Motivation in English
bif,"An exclamation uttered when something strikes an object, or a sound imitative of such a blow.",Rhyme Over Reason : Phonological Motivation in English
biff,"An exclamation uttered when something strikes an object, or a sound imitative of such a blow.",Rhyme Over Reason : Phonological Motivation in English
biff,"To hit, strike.",Rhyme Over Reason : Phonological Motivation in English
bing,A thump or blow.,Rhyme Over Reason : Phonological Motivation in English
bingo,An exclamation made by someone winning a game of bingo.,Rhyme Over Reason : Phonological Motivation in English
birl,"To move on with rotatory motion, as a rifle bullet.",Rhyme Over Reason : Phonological Motivation in English
bish,To throw.,Rhyme Over Reason : Phonological Motivation in English
blad,"To deal a blow to, to slap heavily.",Rhyme Over Reason : Phonological Motivation in English
blah,"Meaningless, insincere, or pretentious talk or writing; nonsense, bunkum. Also used as a derisive interjection.",Rhyme Over Reason : Phonological Motivation in English
blash,"A dash or plash of liquid, as when rain appears to fall in sheets; a mixture of blow and splash.",Rhyme Over Reason : Phonological Motivation in English
blat,A bleating or shrill sound.,Rhyme Over Reason : Phonological Motivation in English
blea,To bleat as a lamb or kid; to cry piteously as a child.,Rhyme Over Reason : Phonological Motivation in English
blear,To protrude the tongue in mockery.,Rhyme Over Reason : Phonological Motivation in English
bleep,"A thin, high-pitched blipping sound, spec. one made by electronic equipment.",Rhyme Over Reason : Phonological Motivation in English
bling,(A piece of) ostentatious jewellery. Hence: wealth; conspicuous consumption.,Rhyme Over Reason : Phonological Motivation in English
blip,Any sudden brisk blow or twitch; a quick popping sound.,Rhyme Over Reason : Phonological Motivation in English
blip,To strike with a brisk rap or tap.,Rhyme Over Reason : Phonological Motivation in English
blirt,"To burst into tears, weep violently; disfigure with tears. ",Rhyme Over Reason : Phonological Motivation in English
blizzard,A sharp blow or knock; a shot.,Rhyme Over Reason : Phonological Motivation in English
blodge,"A large irregular spot or patch of light, colour, or the like; a blot, smear, or stain.",Rhyme Over Reason : Phonological Motivation in English
splotch,"A large irregular spot or patch of light, colour, or the like; a blot, smear, or stain.",Rhyme Over Reason : Phonological Motivation in English
bloop,A plopping sound; a howling sound.,Rhyme Over Reason : Phonological Motivation in English
bloop,To make a howling noise; to operate a radio set in such a way that it emits such a noise.,Rhyme Over Reason : Phonological Motivation in English
blotch,"An inflamed eruption, or discoloured patch, on the skin; a pustule, boil, or botch.",Rhyme Over Reason : Phonological Motivation in English
blout,"The sudden breaking of a storm; a sudden downpour of rain, hail, etc., accompanied by wind.",Rhyme Over Reason : Phonological Motivation in English
bluff,"To swell out, become distended.",Rhyme Over Reason : Phonological Motivation in English
blumbering,"Rumbling, lumbering noise.",Rhyme Over Reason : Phonological Motivation in English
blunge,"To mix (clay, powdered flint, etc.) up with water.",Rhyme Over Reason : Phonological Motivation in English
blurt,To emit the breath eruptively from the mouth; to snort in sleep.,Rhyme Over Reason : Phonological Motivation in English
bluther,To cry with a voice smothered with tears and sobs.,Oxford English Dictionary
bob,"To move up and down like a buoyant body in water, or an elastic body on land; hence, to dance; to move to and fro with a similar motion, esp. said of hanging things rebounding from objects lightly struck by them.",Rhyme Over Reason : Phonological Motivation in English
boffo,A hearty laugh.,Oxford English Dictionary
boing,The noise made when a compressed spring is suddenly released; a reverberating sound.,Rhyme Over Reason : Phonological Motivation in English
boink,"A bump; a blow. Also: a brief resonant sound, such as might accompany this.",Rhyme Over Reason : Phonological Motivation in English
bom,The sound caused by the discharge of a gun.,Oxford English Dictionary
bong,"Representing a low-pitched, resonant sound of the kind made by the ringing of large bell, the striking of a gong, etc.",Oxford English Dictionary
bonk,"An abrupt, heavy sound, as when a solid object strikes a hard surface or bony part of the body.",Rhyme Over Reason : Phonological Motivation in English
bonk,To hit (a solid surface or bony part of the body) resoundingly with or against something hard and unyielding.,Rhyme Over Reason : Phonological Motivation in English
boobook,,
boom,"To hum as a bee or beetle; to make a loud, deep sound with much resonance, as a cannon, a large bell, the waves of the sea, etc.",Rhyme Over Reason : Phonological Motivation in English
bop,A short abrupt explosive sound.,Rhyme Over Reason : Phonological Motivation in English
pop,A short abrupt explosive sound.,Rhyme Over Reason : Phonological Motivation in English
bop,"To hit, strike, punch.",Rhyme Over Reason : Phonological Motivation in English
bosh,"Indicating something which happens suddenly, quickly, or effortlessly.",Rhyme Over Reason : Phonological Motivation in English
bow-wow,An imitation of the barking of a dog.,Rhyme Over Reason : Phonological Motivation in English
brash,"Fragile, brittle: used chiefly of timber.",Rhyme Over Reason : Phonological Motivation in English
brattle,"A smart rattling sound, esp. of something breaking or bursting.",Rhyme Over Reason : Phonological Motivation in English
brr-brr,"Representing a repetitive mechanical or electronic noise, esp. that of a telephone’s buzzer or ringtone.",Rhyme Over Reason : Phonological Motivation in English
brrr,"Used as an exclamation to accompany a shiver of cold, fear, disquiet, etc.",Rhyme Over Reason : Phonological Motivation in English
brum,"To murmur, to hum.",Rhyme Over Reason : Phonological Motivation in English
brum,Representing a humming or murmuring sound.,Rhyme Over Reason : Phonological Motivation in English
bruzz,To growl as a bear.,Rhyme Over Reason : Phonological Motivation in English
buff,"To speak with obstructed and explosive utterance, to stutter.",Rhyme Over Reason : Phonological Motivation in English
buff,,
buffle,,
buln-buln,,
bum,"A humming, buzzing, or droning sound.",Oxford English Dictionary
bum,To drink esp. in a greedy or guzzling manner.,Oxford English Dictionary
bumble,"A confused, disorganized, or untidy collection of things",Oxford English Dictionary
bump,"A blow somewhat heavy, but rather dull in sound; a sudden collision, more or less violent.",Rhyme Over Reason : Phonological Motivation in English
bump,A word used to express the cry of the bittern.,Rhyme Over Reason : Phonological Motivation in English
bunch,"To strike, thump; to bruise flax, etc., by beating it.",Rhyme Over Reason : Phonological Motivation in English
bung,To throw (violently); to send; to put forcibly.,Rhyme Over Reason : Phonological Motivation in English
bungle,To do or make in a clumsy or unskilful manner.,Rhyme Over Reason : Phonological Motivation in English
burp,To belch.,Rhyme Over Reason : Phonological Motivation in English
