Entry,Word class,Etymology,Definition
a,int.,Probably imitative of the natural utterance.,"Expressing invocation, surprise,  or admiration; (also) used to gain attention."
achoo/atishoo/atichoo,"int., n.",Imitative of the sound made when sneezing.,Representing the sound of a sneeze. An exclamation of ‘achoo’; a sneeze.
ahem,"int., n.",Imitative of the sound made in clearing the throat.,An exclamation representing a slight cough or clearing of the throat.
ai,int.,Imitative.,"An exclamation of surprise, regret, pain, etc., often used in imitation of foreign speakers of English."
aie,int.,Imitative.,"Awailing exclamation of resignation, surprise, regret, alarm, etc.; sometimes imitative of non-British speakers of English."
alew,n.,Imitative of a cry of lamentation or mourning.,A cry of sorrow or lamentation.
arf,int.,Imitative.,"Representing the bark of a (small) dog, or a human imitation of such a bark. Usually repeated in arf are, etc."
argh,int.,Imitative of a prolonged cry or groan.,"Expressing pain or fright; (also) expressing anguish, disappointment, or frustration."
aw,int.,Imitative.,"An exclamation usually expressing mild remonstrance, entreaty, commiseration, disgust, or disapproval."
bada-bing,int.,Origin uncertain. Perhaps imitative of the sound of a drum roll and cymbal clash. Perhaps compare Italian bada bene mark well.,"Suggesting something happening suddenly, emphatically, or easily and predictably; ‘Just like that!’, ‘Presto!’"
bam,int.,Echoic.,An interjection imitating the sound of a hard blow.
bangarang,n.,Probably imitative.,Rubbish; miscellaneous items.
baugh/baw,v.,Imitative of the sound.,"To bark, as a dog."
baw-waw,n.,Imitative of the sound.,The barking of a dog.
bebop,n.,Apparently imitative.,"A development of jazz, begun in the U.S. at the end of the 1939–45 war, characterized by complex harmony, dissonant chords and highly syncopated rhythm."
beep,"n., v.",Imitative.,"The sound made by a horn on a motor car or other vehicle; a short high-pitched sound such as is emitted by an echo-sounder, a radar device, etc."
beep,v.,Imitative.,To sound (a horn); to make (something) emit a short high-pitched sound; to indicate by sounding beeps.
bewh,v.,Imitative of the sound.,"To bark in a thin voice, to yelp."
bif/biff,int.,Imitative.,"An exclamation uttered when something strikes an object, or a sound imitative of such a blow."
biff,v.,Imitative.,"To hit, strike."
bing,"n., int.","Echoic, representing a sudden banging noise or blow.",A thump or blow.
bingo,int.,Echoic.,An exclamation made by someone winning a game of bingo.
birl,v.,"A modern word: apparently onomatopoeic; having probably association with birr, whirr, whirl, hurl, and Scottish dirl, pirl, in all of which there is a reference to vibration or rotation and its sound.","To move on with rotatory motion, as a rifle bullet."
bish,v.,Imitative.,To throw.
blad,v.,Probably onomatopoeic.,"To deal a blow to, to slap heavily."
blah,n.,Imitative.,"Meaningless, insincere, or pretentious talk or writing; nonsense, bunkum. Also used as a derisive interjection. Frequently reduplicated."
blash,n.,"A modern word or series of words of onomatopoeic formation; with reminiscences of plash, splash, dash, etc., and probably of blow.","A dash or plash of liquid, as when rain appears to fall in sheets; a mixture of blow and splash."
blat,n.,Imitative.,A bleating or shrill sound.
blea,v.,Probably imitative.,To bleat as a lamb or kid; to cry piteously as a child.
blear,v.,"Perhaps onomatopoeic, but naming a gesture rather than a sound, though some inarticulate sound may have originally been implied.",To protrude the tongue in mockery.
bleep,v.,Echoic.,"A thin, high-pitched blipping sound, spec. one made by electronic equipment."
bling,"n., adj.","Probably imitative, apparently representing the visual effect of light being reflected off precious stones or metals.",(A piece of) ostentatious jewellery. Hence: wealth; conspicuous consumption.
blip,n.,Echoic.,Any sudden brisk blow or twitch; a quick popping sound.
blip,v.,Echoic.,To strike with a brisk rap or tap.
blirt,v.,Probably an onomatopoeic word nearly identical with blurt.,"To burst into tears, weep violently; disfigure with tears. "
blizzard,n.,"A modern word, probably more or less onomatopoeic.",A sharp blow or knock; a shot.
blodge/splotch,n.,Imitative.,"A large irregular spot or patch of light, colour, or the like; a blot, smear, or stain."
bloop,n.,Echoic.,A plopping sound; a howling sound.
bloop,v.,Echoic.,To make a howling noise; to operate a radio set in such a way that it emits such a noise.
blotch,n.,"Apparently an onomatopoeic modification of blot, for which it is commonly used dialectally.","An inflamed eruption, or discoloured patch, on the skin; a pustule, boil, or botch."
blout,n.,Apparently onomatopoeic.,"The sudden breaking of a storm; a sudden downpour of rain, hail, etc., accompanied by wind."
bluff,v.,"? Onomatopoeic, associated with blow, puff.","To swell out, become distended."
blumbering,n.,? Onomatopoeic.,"Rumbling, lumbering noise."
blunge,v.,Apparently onomatopoeic.,"To mix (clay, powdered flint, etc.) up with water."
blurt,v.,"Apparently a modern onomatopoeia, expressive of a discharge of breath or fluid from the mouth after an effort to retain it.",To emit the breath eruptively from the mouth; to snort in sleep.
bluther,v.,"An onomatopoeic word, of similar formation to blubber, with which it is often synonymous, though perhaps expressing more specifically the sound of air and liquid in the mouth, nose, and throat."," To raise wind-bells in water’, Jamieson. (Rather the bubbling sound made in doing so.)."
bob,v.,"Apparently onomatopoeic, expressing short jerking or rebounding motion.","To move up and down like a buoyant body in water, or an elastic body on land; hence, to dance; to move to and fro with a similar motion, esp. said of hanging things rebounding from objects lightly struck by them."
boffo,"n., v.",Origin uncertain: perhaps imitative.,"In the entertainment industry: a joke, punch-line, or piece of comic business, esp. one that elicits uproarious or unrestrained laughter."
boing,int.,Echoic.,The noise made when a compressed spring is suddenly released; a reverberating sound.
boink,"n., int.",An imitative or expressive formation.,"A bump; a blow. Also: a brief resonant sound, such as might accompany this."
bom,n.,Of imitative origin.,"The sound caused by the discharge of a gun, less deep and sonorous than a ‘boom’."
bong,n.,Imitative.,"A deep resonant sound as of a bell’ (Webster 1934). Hence as v., to emit such a sound."
bonk,n.,Echoic.,"An abrupt, heavy sound, as when a solid object strikes a hard surface or bony part of the body; a bump or blow."
bonk,v.,Echoic.,To hit (a solid surface or bony part of the body) resoundingly with or against something hard and unyielding.
boobook,n.,Imitative of the bird’s note.,"The name given in Australia to a medium-sized brown spotted owl, Ninox novæ-seelandiæ boobook; the mopoke."
boom,v.,Of imitative origin; whether original in English it is impossible to determine.,"To hum or buzz, as a bee or beetle; to make a loud, deep sound with much resonance, as a cannon, a large bell, the waves of the sea, etc."
bop/pop,n.,Echoic.,A short abrupt explosive sound.
bop,v.,Echoic.,"To hit, strike, punch."
bosh,int.,An imitative or expressive formation.,"Indicating something which happens suddenly, quickly, or effortlessly."
bow-wow,"int., n.",Imitative.,An imitation of the barking of a dog.
brash,adj.,Perhaps onomatopoeic; ? influenced by break and rash.,"Fragile, brittle: used chiefly of timber."
brattle,n.,"This and its verb are onomatopoeic, probably with association of break, brast and rattle.","A smart rattling sound, esp. of something breaking or bursting."
brr-brr,int.,An imitative or expressive formation.,"Representing a repetitive mechanical or electronic noise, esp. that of a telephone’s buzzer or ringtone."
brrr,int.,An imitative or expressive formation.,"Used as an exclamation to accompany a shiver of cold, fear, disquiet, etc."
brum,v.,"Probably ultimately imitative of a humming, murmuring, or rumbling sound.","To murmur, to hum."
brum,"n., int.",Apparently imitative of a droning or rumbling sound.,Representing a humming or murmuring sound.
