,a,aː,ã,b,d,d͡ʑ,e,eː,ẽ,f,h,i,iː,ĩ,j,k,l,m,n,o,oː,õ,p,s,t,t͡ɕ,u,v,w,z,æ,ð,ŋ,ɑ,ɔ,ɕ,ə,ɛ,ɡ,ɥ,ɪ,ɯ,ɯː,ɯ̃,ɰ,ɲ,ɴ,ɸ,ɹ,ɾ,ʀ,ʃ,ʊ,ʌ,ʑ,ʒ,ʔ,θ
good,0.09949469580243633,0.0903986394405365,0.12923892214894295,0.08067883530772534,0.12583705286184946,0.11465879529714584,0.09092628624704151,,,0.041580145402501024,0.07512773701455444,0.09690511158752138,0.08834114670753479,0.13778603821992874,0.09682253033293096,0.09319819109301308,0.1160355978888125,0.10131941500444416,0.10690808070382926,0.10039547777145469,,0.11904262006282806,0.09599173607699363,0.08380416386360713,0.11141737619958197,0.14163457984859879,0.08047873032792734,,0.052091036733976984,0.09930142547403063,0.029044225811958313,,0.130166904609592,0.06818138861230441,0.07897802516818046,0.11976720678309599,0.11043525917770027,0.12775126140978602,0.13599206412247583,,0.11807944718748331,0.13231591313491617,0.12335822731256485,0.11747809251149495,0.12195938562645632,0.1067986282416516,0.11120220071946581,0.12209819257259369,0.12804701179265976,0.12678351268793145,0.1092362745354573,0.04358206782490015,,0.10033750866672822,0.11913155950605869,,0.10361751646269113,
bad,0.028102746749041126,0.024704713723622262,0.022463491186499596,0.030322832050012665,0.036942119636098746,0.035157087602113425,0.026738799384037403,0.022234649397432804,0.02141554467380047,0.025133056752183282,0.025912861397955567,0.027508175457019994,0.023861034773290157,,0.026278306773934536,0.027538229642353328,0.029569931462298405,0.027994222509768234,0.03045340463201101,0.024633865549933805,0.02148771844804287,0.026112125255167484,0.028269894072026888,0.028021738963310595,0.029543643622153427,0.03495474628745073,0.023804458659962096,0.021088032539756524,0.024375320703146002,0.02642250011594575,0.02623412914482164,,0.02760988336430561,0.02660519824851127,0.02588034013304143,0.03118624478236012,0.03101030172285985,0.02742508281693325,0.029149416593947642,0.02349197134996454,0.02839816540980072,0.03412372414162665,0.026763314800336956,,0.03157868795096874,0.028720091423019768,0.02876326238253602,0.03315784666864645,0.02794177841576861,0.03285528017351261,0.025057430913339753,0.025872098379372772,0.02689814567565918,0.033631000675970864,0.03167470567154162,,0.02894448278390843,0.026824153261259198
beautiful,0.097436155345352,0.10329096764326096,0.12356797605752945,0.08320776504222993,0.09584977431222796,0.11351294443011284,0.13130440469831228,,,0.09388448158279061,0.06274051426185502,0.09158273405964451,0.11732012629508973,0.13499344885349274,0.0954489284583057,0.09576994640872397,0.11582555123525821,0.09540680295975898,0.10129426956354151,0.08203705996274949,,0.1287834495306015,0.11131655765851414,0.08078413353762062,0.10764466650196648,0.13243716550541335,0.08046142464003492,,0.07545462530106306,0.08265204168856144,0.11974398046731949,,0.118249997753677,0.06346631795167923,0.07013062511881192,0.11887094945363376,0.1152946740969435,0.10344698559492826,0.1237849909812212,0.09409760178199836,0.10833012674222975,0.12629691327318282,0.10491839051246643,0.12511448562145233,0.11845911826406207,0.1045334893944008,0.11469857953488827,0.11674692752686414,0.08778262380510568,0.1219439973624853,0.09907909786259686,0.06158825233578682,,0.09290455779992043,0.11650053411722183,,0.11043047495186328,
ugly,0.08932725534255208,0.07727440612183677,0.07087279111146927,0.09245328696945974,0.09998343095004818,0.1104380807114972,0.09452705261387873,0.07338590361177921,0.06892940402030945,0.0818070989090881,0.08423599835139767,0.08967710598076356,0.07357277278788388,,0.08470374389847873,0.09186866494409757,0.09735174445061516,0.09000038108432759,0.10350266124374044,0.08220563052697874,0.07190508022904396,0.08258258923888206,0.09662690233192495,0.08934111050407674,0.09901712401263993,0.11865605086919184,0.07928930249505385,0.07596472253402074,0.0790911226587256,0.08806865652294175,0.08842196833433175,,0.09474205440655185,0.09397441446781159,0.08812664432779832,0.10212341792784728,0.10022652761803733,0.09617992727304488,0.09780253077625604,0.0930534792797906,0.09829668120409434,0.11235127124198518,0.08733487528349672,,0.10195415204062182,0.09456679845849672,0.09625817428935658,0.10494137023176466,0.09646730071090791,0.10853982031345367,0.08418553754044093,0.09167894369376631,0.10433809906244278,0.11468353876829052,0.10466416925191879,,0.09494010657072068,0.10345899934569995
pleasant,0.09740405844460588,0.07148917737816061,0.1210535280406475,0.08066426331159356,0.10649592608499986,0.11949558556079865,0.08060793845523229,,,0.06576335906154579,0.06339982061592095,0.09093951040780951,0.10469613969326019,0.12781835719943047,0.08489466365165904,0.09424508441123179,0.11003241822537448,0.09469047557577934,0.11050194802049701,0.08523392111767299,0.07148469053208828,0.12077866122126579,0.10496344441436092,0.0945334158946955,0.10417565150182326,0.12887733318991418,0.07598706910769777,,0.07347134270224123,0.08791415791012465,0.08177115448883601,,0.10965470810959681,0.07503077660042506,0.07742288237851527,0.11381424606047771,0.10375575859560615,0.12282824872390313,0.10128245480535995,0.07955352081493898,0.10139321694150567,0.12210918539329646,0.10603304342790083,0.11097896546125412,0.11514340051346356,0.10016938598294343,0.10095160701514586,0.1134526330445494,0.08925111070275307,0.11388452945465452,0.09713809925949934,0.029624439030885696,,0.0954341313180824,0.10836215317249298,,0.09636533781125838,
unpleasant,0.08735091329875044,0.08374265550325315,0.09759128540754318,0.09359788458878297,0.09897130838558504,0.10935607095879893,0.08826070319025406,0.0732279447838664,0.0747007429599762,0.07888855496792337,0.08315623690886004,0.08920076870635595,0.07741510021415623,0.07980883121490479,0.08333536437487331,0.09229526206039415,0.09538631786630136,0.09182829466845534,0.10083980812067395,0.08339472702932346,0.07107966858893633,0.09433120985825856,0.09307936713259571,0.09231009771387072,0.09413159899981545,0.11502512508302878,0.07617106749833592,0.07142432987152993,0.0808136116753896,0.08387036457949144,0.08772088389681733,0.08909541368484497,0.09615088376690703,0.09134404924274846,0.08847525013405104,0.10446913713323218,0.0992665883782949,0.09456172314918981,0.0985369423569179,0.08704356042047341,0.09390920355588525,0.11231217582811731,0.09053764480984572,,0.10021545048113223,0.09719524964414261,0.09819767391809853,0.11200345409187404,0.0949284711207908,0.10703498743853326,0.0853164730723514,0.08371397828389154,0.0974608302116394,0.10922822834552151,0.10457602163424363,0.07680758833885193,0.09528289189965454,0.09547664523124695
strong,0.1064232752669093,0.10017131327798492,0.12935057654976845,0.11538265808734505,0.1275945994640804,0.1667134905854861,0.11037519400318463,0.0779545665718615,0.11314541846513748,0.08423584267791165,0.09489242760464549,0.11418445653640395,0.09814050327986479,0.15523965656757355,0.1039782942930917,0.1174313599838849,0.11746784040594149,0.11121659984044924,0.12929123624544067,0.1002471190210486,0.039980536326766014,0.10928429663181305,0.11729480169056358,0.11095953690407971,0.12269217793786794,0.1540826578296732,0.08866070526219257,0.06728488014101289,0.0831324398799879,0.09869563278563796,0.08891911775458093,,0.11337039587926903,0.10358199443122963,0.10069220054620531,0.14232377399195423,0.1320954363184796,0.11257084478142758,0.12203492800242514,0.07533818084214415,0.11110853208228946,0.14612553066653347,0.11664010721313603,,0.12285513597829588,0.1017104675328093,0.12038587388815358,0.13495079827095782,0.1154819562099874,0.14731643445513867,0.10042231899030783,0.09043006389812247,0.04410921037197113,0.13515327662428792,0.15952354110777378,,0.11414468720430086,0.09311634195702416
weak,0.03424051469151621,0.031576344950331584,0.04075240530073643,0.03264812311181464,0.03572760648791485,0.04167818402250608,0.0304356158362605,,,0.029579645500171402,0.029363093125061503,0.032956236791117755,0.03478278083105882,0.041090985760092735,0.03380349455868048,0.0340265523283832,0.035501040292488,0.033214848065366565,0.038187104159839114,0.030247961375186944,0.026315171892444294,0.04074491932988167,0.03471136317355296,0.03366966218391801,0.03460642121091039,0.041645444482163965,0.02806246116899902,0.03876243717968464,0.03394098534990081,0.03185266882356771,0.0343323674518615,0.03600639849901199,0.03656563777733138,0.03244180020151867,0.03132635246611041,0.040567757920003854,0.03734263420541076,0.03737493404181854,0.035253274525727935,0.03164697173786791,0.03467974707114795,0.04310964169738916,0.03642122927857073,0.042641202360391615,0.04305286462540212,0.036762274079956116,0.03624895244138315,0.043707975220900995,0.035035428867952245,0.040020455207143514,0.033836470036344095,0.0307988548418507,0.041091671834389366,0.03962894208347127,0.03836655636367045,0.03270408511161804,0.034959310588116445,0.03890889585018158
big,0.11913913383683145,0.10938387910925573,0.13476872071623802,0.1393438808647435,0.14453279661058685,0.1668554636148306,0.12906432324146777,0.08692381903529167,0.1183466985821724,0.08567888633244566,0.10426865011488229,0.1387291224422392,0.10936733782291412,0.16628611087799072,0.13238291869250435,0.13591755112069057,0.13281786520413866,0.12575451285943895,0.14823785720422109,0.11438742760410686,0.04306679591536522,0.1123969778418541,0.13426214326488692,0.13009778302373542,0.14148311990539245,0.16774185398413288,0.09941333952066196,0.05423744075621168,0.0894122685861688,0.15003439795876305,0.09462493650304775,,0.11531755734492369,0.11337550202349447,0.10330402176827191,0.15733812615837692,0.13621998712281014,0.15295168362332112,0.13625404685038747,,0.14756602079917988,0.16179261249258653,0.10692696678249733,,0.13260563671588899,0.10259686186909675,0.13135187748215488,0.15187484451702662,0.1246808401224288,0.16346623711287975,0.10151294581250313,0.1085583308253273,0.040995944291353226,0.15355794530427247,0.16677294174830118,,0.11797034954827912,0.11538893676229886
small,0.03587912473008796,0.03174521255173853,0.04036685824394226,0.034046485576601254,0.03579677789967659,0.042182247730947676,0.03686122399519613,,,0.031197475924816004,0.03199336010341843,0.034418238114085356,0.03291663476689295,0.03982111066579819,0.033563461199389875,0.03528317723991924,0.037273893030386314,0.0342658545698484,0.0399421312587899,0.03345136215250507,0.027797816321253777,0.0422334298491478,0.03709174738623837,0.03511481237945405,0.03731813782389344,0.04297208276141454,0.029899374501403037,0.029933614656329155,0.0334781499685248,0.033080309214815216,0.03441419967760642,0.03495170548558235,0.03668095391545909,0.0358347291177189,0.03387023604268001,0.04086324508175438,0.03878876467642516,0.035828606543382484,0.035390220249855456,0.03428458557887511,0.036202687096405534,0.04377216932666994,0.03703761687502265,0.044695982709527016,0.04257825956396435,0.03307987417969288,0.037565242652207204,0.04434759897941893,0.03552314687682235,0.04066225952790146,0.03465300270666679,0.03251811867351156,0.051763106137514114,0.04073531746664749,0.04158219204921471,,0.036687215051517404,0.03635087162256241
