,a,b,d,e,f,h,i,j,k,l,m,n,o,p,s,t,u,v,w,z,æ,ð,ŋ,ɑ,ɔ,ə,ɛ,ɡ,ɪ,ɹ,ʃ,ʊ,ʌ,θ
good,0.07217473722994328,0.09081975583519254,0.11397367219130199,,0.06909570967157681,0.06708731316030025,0.044671981036663054,0.05348353926092386,0.09606384661876494,0.10586710789186113,0.04494516568427736,0.03626242280006409,0.13931412622332573,0.044995784759521484,0.07630063104443252,0.08663246144230168,0.07160834700334817,,0.08115230890160258,0.024559378623962402,0.029044225811958313,,0.14340265095233917,0.06818138861230441,0.11425358057022095,0.12667221372777765,,0.14558449760079384,0.11807944718748331,0.12804701179265976,0.06690622121095657,,0.06390010379254818,
bad,0.025150771364569665,0.02853785956214214,0.029905232334775583,0.02315134285017848,0.028369669325468017,0.02506582729984075,0.0254425162046745,0.02482757413138946,0.0246188815157765,0.029291019657695736,0.02633416831182937,0.02864215109983216,0.025985491811297834,0.02700827962585858,0.027561346818085596,0.02996031876342992,0.018546988936857536,0.024435931195815403,0.023549130136768022,0.025414901164670784,0.02623412914482164,,0.028923741908687534,0.02660519824851127,0.025127270841039717,0.03248076463992498,0.028782675441886698,0.027272579409182072,0.02839816540980072,0.02794177841576861,0.025878752064373758,0.02689814567565918,0.02945098712121787,0.026824153261259198
beautiful,0.0633859671652317,0.09869586490094662,0.08608948113396764,,0.08632405567914248,0.0315638929605484,0.03477315123503407,0.026717684231698513,0.08410757015060101,0.10137417717348962,0.03424923815247086,0.03494782870014509,0.08123069629073143,0.09816527340028967,0.07751409010961652,0.07323746447218582,0.055741893406957385,,0.06385370710243782,0.024028880521655083,0.11974398046731949,,0.11456971243023872,0.06346631795167923,0.0849189180880785,0.12448624724691565,,0.14808328449726105,0.10833012674222975,0.08778262380510568,0.06158825233578682,,0.052409741282463077,
ugly,0.07782121510668234,0.09182845558537993,0.09720995815263854,0.094317002967,0.09159443256993817,0.08369135189997523,0.08235072651330162,0.08151044739886772,0.08421554533410663,0.09647649669445547,0.0910767269570653,0.09737034124277887,0.0828970457342538,0.09399195745179098,0.09423921788218377,0.10368320622271107,0.06552590355277062,0.09306836128234863,0.07809591000970406,0.08793143245081107,0.08842196833433175,,0.10295979390221258,0.09397441446781159,0.08482941579731072,0.10727825537323951,0.10888930681076917,0.0982149842850588,0.09829668120409434,0.09646730071090791,0.09242729791279497,0.10433809906244278,0.10315114804716022,0.10345899934569995
pleasant,0.07642264245077968,0.08251032031451662,0.10246273015554135,,0.06086449035339885,0.04563308693468571,0.05433952738530934,0.04710948866392885,0.0791208340600133,0.09861978177319873,0.0559840841512931,0.07803469593636692,0.10868413746356964,0.08128064743835818,0.0785102200590902,0.08224063601699613,0.051291490400520466,,0.06764161791051587,0.06318522617220879,0.08177115448883601,,0.11080038336955983,0.07503077660042506,0.08547560218721628,0.1137810179396816,,0.08328089800973733,0.10139321694150567,0.08925111070275307,0.03975967541337013,,0.06366666574031114,
unpleasant,0.07635921663181348,0.09262451051901548,0.09587306985932012,0.08946769994994004,0.08847117489945572,0.08079053709904353,0.07515404280275106,0.08148939616716745,0.08613363347496047,0.09525571803572358,0.08868580563710286,0.0941004065460846,0.08181260567572382,0.08776375394343405,0.0906764897771857,0.09762091827717158,0.06300318231567359,0.07979307075341542,0.07641812865140624,0.08280840329825878,0.08772088389681733,0.08909541368484497,0.10037830485789864,0.09134404924274846,0.0857780792496421,0.10728819215217152,0.09730991069227457,0.09877781699778455,0.09390920355588525,0.0949284711207908,0.08586922238924001,0.0974608302116394,0.09823311051847983,0.09547664523124695
strong,0.06852592352347878,0.10887923755381308,0.1120918391065465,0.10273225139826536,0.09208306688815356,0.08395707048475742,0.08631688507054658,0.06911686395760626,0.0984493525995111,0.10755545433472705,0.07013172664223834,0.10478715370926592,0.08515435423363339,0.09172907794037691,0.09954867809527106,0.11834938625494638,0.06778219364946936,0.0648840069770813,0.0737993115138623,0.0774234239012003,0.08891911775458093,,0.12000408861786127,0.10358199443122963,0.08962877298749629,0.1382124709473415,0.11031412854790687,0.10530666806095955,0.11110853208228946,0.1154819562099874,0.07738179748726857,0.04410921037197113,0.11251871799489102,0.09311634195702416
weak,0.03391690419188568,0.034889255510643126,0.036301899458403175,0.029937566607259214,0.03358595120350281,0.02745245101259035,0.025623576165261595,0.030103052119639786,0.03195173849235289,0.03560355138778686,0.03163011958998329,0.03604308504498366,0.028042749036103487,0.03357172321564364,0.03358314194095632,0.03356403609737754,0.02307738275386584,0.03876243717968464,0.02818831513868645,0.02944768355651335,0.0343323674518615,0.03600639849901199,0.038668890818953514,0.03244180020151867,0.029609153763605997,0.040210739783351386,0.04019314130502088,0.033384675004829965,0.03467974707114795,0.035035428867952245,0.030444038783510527,0.041091671834389366,0.033808171472235304,0.03890889585018158
big,0.07285017957910896,0.12987186916341836,0.13009970660867362,0.12208137661218643,0.09707199765576256,0.09567693571903203,0.11899355767915647,0.07989558298140764,0.11707158026195341,0.1193551683279964,0.0809707898646593,0.13623494066690145,0.09431723824569158,0.10691307972777973,0.11272723856382072,0.1342961594271354,0.06785848938549559,0.0299456175416708,0.07224993711480727,0.12242682402332623,0.09462493650304775,,0.12953805488844714,0.11337550202349447,0.09953259006142616,0.15513178804779754,0.15124356374144554,0.1161199806107057,0.14756602079917988,0.1246808401224288,0.09010598141896098,0.040995944291353226,0.132310498328436,0.11538893676229886
small,0.035237256127099194,0.03420192454941571,0.036304390896111725,0.04111157650394099,0.03489700298923165,0.029451486344138782,0.027442727614050873,0.03277899365639314,0.033209702589859565,0.03717884809537008,0.03299050154164433,0.03648926155307354,0.03679186904004642,0.035598509648645464,0.03468712080608715,0.03615988552245119,0.02553513582263674,0.038909388706088066,0.03102197541774791,0.03186166245076391,0.03441419967760642,0.03495170548558235,0.03773411916834968,0.0358347291177189,0.03155753342434764,0.04164058054166456,0.0341379651799798,0.03273787744343281,0.036202687096405534,0.03552314687682235,0.032902414855711604,0.051763106137514114,0.03558127779513597,0.03635087162256241
