,a,b,d,e,f,i,j,k,l,m,n,o,p,s,t,u,v,w,z,ŋ,ɔ,ə,ɛ,ɡ,ɥ,ɲ,ʀ,ʃ,ʒ
abrupt,0.20270165720106106,0.20018145424946573,0.2873811298567388,0.1642600787182649,0.1396801938972203,0.18164782209983357,0.18647984655884406,0.20756424015273361,0.2025997096406562,0.1996448113652015,0.2376615899127154,0.11696422244939539,0.1821596242212755,0.1785142303680081,0.21002912772621246,0.14720744272926822,0.14459633697257485,0.13714789534526423,0.13695672451442964,0.1338423378765583,0.2129535008682294,0.23230934797996475,0.19052312632693963,0.25350797526602054,0.1778929923419599,0.22894066385924816,0.2139778652221617,0.1904784541136475,0.22465305030345917
active,0.08495866146771923,0.07607981282495713,0.11548855067748162,0.06519763078540564,0.05900226619996829,0.07626991728938656,0.07723690092097968,0.08668574390104403,0.0862700501279462,0.08242636737931106,0.10148491395548695,0.04686480022414967,0.07826793520852993,0.07394417007285428,0.09066939413871454,0.06068777016756174,0.059645939964887706,0.055900062773038044,0.05391336654036029,0.049478194676339626,0.08877608205160398,0.09399735846466595,0.07598926970625625,0.1032626276551667,0.07103796937951336,0.09543471015058458,0.08785976887592216,0.07887145138836356,0.0947849228978157
bad,0.027131860187956106,0.03165180884398423,0.05117398755330788,0.02070247195661068,0.02172132326370996,0.021899943418596704,0.024974062045415243,0.023779673364889974,0.02572101580265623,0.025557563022117723,0.027708909060392115,0.015326734283007681,0.024038567766547204,0.02444447997288826,0.02415614689957222,0.021771439006957022,0.017740133883697645,0.01918277862880911,0.022447760859183197,0.019254984334111214,0.025895530057530248,0.02863635698502714,0.024052522145211697,0.02847048727562651,0.02349197134996454,0.027475518484910328,0.025172411371682975,0.02553039328860385,
beautiful,0.08521704732199309,0.09179035258421209,0.11911248187111183,0.10959803623457749,0.05666791557593912,0.07833917576165216,0.08799700163628744,0.08075758912261354,0.08377061841416765,0.08583345465277406,0.09628166200127453,0.02023170722855462,0.07426015777951654,0.07690544619203307,0.09066806606088694,0.061113906976504206,0.05257579473157724,0.054266542319537085,0.06778618842363357,0.022892337292432785,0.08361019771546126,0.10191291436553002,0.07490724169959624,0.09578116805189185,0.0941561416589788,0.10338367559015751,0.08401935143643115,0.08015147555205557,
big,0.10770883006472631,0.11274548200890422,0.15022983612573665,0.12435346469283104,0.06466143402270973,0.09537745989450996,0.08886566061388564,0.10915710634957904,0.1066148710329065,0.0990410079694774,0.12558914885784572,0.057888941187411544,0.09306775707712707,0.08603527315426618,0.10969650285432533,0.08002452576887205,0.07123423020380575,0.06944662519740034,0.07715323650544244,0.06846118345856667,0.10773722903772456,0.1184091916307807,0.1206009251375993,0.139106252292792,0.08524733544750647,0.08224249677732587,0.11171189649692644,0.09826980717480183,
calming,0.07131954885652646,0.07241724802541637,0.09109949434383048,0.06410170213452407,0.061457407960960685,0.06839260038737047,0.06509677972644567,0.07417401939555503,0.0730860135263175,0.07179809405957119,0.08426394132085335,0.054410599172115326,0.07332793791734037,0.07163008277614911,0.07507067945502374,0.06081878795391983,0.053069200453370116,0.05983702206060666,0.05997680600833248,0.06906071584671736,0.0800668042516563,0.08369806737212812,0.07820810961226622,0.08586804192941801,0.07635028273970992,0.08018934028223157,0.07710179773704061,0.07495957336733851,
complex,0.02459125783338209,0.024460536442234997,0.031166199393369055,0.020741635623077553,0.020589616859069793,0.024262795352571927,0.024252550074985873,0.026785040700868252,0.025013087131083012,0.025060751919694448,0.02785765584981577,0.01832575742500248,0.024932005223796665,0.024477564393127538,0.02669482438408948,0.021007820824892578,0.0190851948938744,0.020202738163638705,0.02160248430949208,0.02357126772403717,0.028328718115272145,0.028652379364376108,0.025426741634659907,0.02913001878976317,0.026761371021469433,0.029423940111882985,0.026732583706351842,0.026949014643484606,0.026249749585986137
continuous,0.024845821927399106,0.0242256595618056,0.030760737071331177,0.01995121277868748,0.02194260271062376,0.023743946613334815,0.023620892723556608,0.025695273177969515,0.025317795233180125,0.02497409234530534,0.02857205994604599,0.01885589284615384,0.025693161859421686,0.024006206452487463,0.026361607992030838,0.021230584769606747,0.019129496176055697,0.02076198967666296,0.02129197445370861,0.023929405491799116,0.027561922055365663,0.027544073790552154,0.024430372149628753,0.02794584596099762,0.025336390292202984,0.02688383893109858,0.0256837138967303,0.025638984736575877,0.025646179914474487
dangerous,0.17617420473622408,0.17989902574765054,0.27604046768762847,0.1844708975404501,0.13129828227818877,0.17530804731779628,0.17729829479422834,0.18578561630177623,0.18417815200256227,0.17273455373942853,0.26300941705703734,0.11882642830411592,0.17466994760365323,0.1923949766974404,0.19804607451272507,0.13433308708519975,0.13144409898668527,0.1178245847595149,0.12940967111633375,0.08643435686826706,0.20393067046201654,0.2229959847913547,0.17238798116644224,0.23525184790973794,0.17861107579971613,0.1966817593201995,0.19434530155104437,0.17950469017028808,
delicate,0.0716512595418464,0.07133193027973175,0.09091809381627375,0.06569552120680992,0.06147580636573619,0.06960316527707194,0.06854703747059988,0.07312094094689753,0.07365135118145073,0.07106584336643464,0.085670698992908,0.05764313709611694,0.07476573175627668,0.07007789127528667,0.0755596010503681,0.060883114559368956,0.054828393317404245,0.060932487643395476,0.06094410226473378,0.06549442745745182,0.08144879116652867,0.08229271074136098,0.073970903060399,0.08503485705077121,0.0776391088962555,0.07942205900326371,0.07333094099031062,0.07570748049360902,0.07341700047254562
