,a,aː,ã,b,d,d͡ʑ,e,eː,ẽ,h,i,iː,ĩ,j,k,m,n,o,oː,õ,p,s,t,t͡ɕ,z,ŋ,ɕ,ɡ,ɯ,ɯː,ɯ̃,ɰ,ɲ,ɴ,ɸ,ɾ,ʑ,ʔ
abrupt,0.288690255021867,0.20973177327086096,0.2809052225202322,0.3129856353868609,0.2800103210169694,0.3336356942142759,0.27119835301256573,0.1580875888466835,0.21600386500358582,0.219982318663865,0.2924211875480764,0.2211871302590288,0.29172369837760925,0.2774969634764335,0.2772474748147668,0.2769118010997772,0.29465627871129824,0.2617739167252898,0.15626667626202106,0.26893680542707443,0.27353962145486854,0.2620828835105942,0.2730678586742362,0.3084300599471041,0.3022751390349631,0.2642080582286182,0.28721504213243,0.27990779069377414,0.3048375666402934,0.2343268147757593,0.2819214403629303,0.27919458655210644,0.2524395453486037,0.25218018181622026,0.2855289156238238,0.30334528004694844,0.3031006067298179,0.2406168689278408
active,0.11989155822207628,0.0839183379678016,0.11355956923216581,0.11996183484468771,0.11586038861423731,0.13953038393741563,0.11765547134134857,0.06208819570019841,0.09002941846847534,0.09600567916052395,0.12188157729420017,0.09022093095399182,0.12319775074720382,0.11567848981414215,0.11665116565005071,0.1201028821335451,0.12417920577552236,0.11227874401673965,0.06639966294169426,0.11703570485115052,0.12044843877557405,0.10870389216870535,0.11943168483269052,0.13074427877242367,0.12630792940948524,0.11133719084318727,0.1178416139700196,0.11740893321528809,0.1243798279907432,0.09344795093221485,0.11322363317012787,0.1143874478024932,0.10468688254502226,0.10447741379695279,0.11374475357190865,0.12554315541742625,0.12742399406987567,0.09784346706967087
bad,0.03041275313077365,0.024574731178581714,0.02846566339333852,0.03056695953693608,0.029808277678158548,0.03466930966824293,0.029672621979556058,0.022234649397432804,0.02141554467380047,0.025711278623804963,0.03160700145741424,0.023701641460259756,0.03441423550248146,0.028458924866036364,0.030582761704586577,0.0299896383478951,0.0322220612782985,0.029028232037501933,0.02148771844804287,0.027102453634142876,0.031000737064671748,0.02891238253261592,0.029979914706200362,0.033187860576435926,0.03198122409348552,0.03090072236955166,0.03109524655354838,0.031619551843808345,0.033321709883383815,0.027434455330616662,0.031035517652829487,0.031416093930602074,0.030078122071151077,0.0288885052387531,0.03288040231123115,0.03264669559076819,0.03139583912451525,0.028628201915486023
beautiful,0.11806399488564709,0.088271988555789,0.11329971502224605,0.12751847833034494,0.11589428101634157,0.13635908104479313,0.11951806932497935,0.06281591486185789,0.0886073112487793,0.09364086364706357,0.1233098896375863,0.09656659859631743,0.13499344885349274,0.11472049875314845,0.11615990701741373,0.11698824908215921,0.1245008578051382,0.11263124786755618,0.06928303465247154,0.11793740093708038,0.1192074759138955,0.1097846126390828,0.11782880369447121,0.13030216786658988,0.12619826048612595,0.11767633570931278,0.12243374694138766,0.11466398155864548,0.1268043327157898,0.09724387489259242,0.12511448562145233,0.12070117145776749,0.10272185521369631,0.10572940107948821,0.11594060228930579,0.12426778277088153,0.12366767419922736,0.10439028244179029
big,0.14801188257451242,0.10829118941393163,0.13929458614438772,0.16371735115535557,0.13886568187312645,0.16797002887024598,0.14262424316808317,0.08692381903529167,0.1183466985821724,0.11637259448568026,0.15544627368295513,0.12709518473733356,0.15537341088056564,0.14128913465833318,0.14373646647240337,0.14950496096790364,0.1536867594718933,0.13931841948009158,0.08026259392499924,0.14200024555126825,0.14798736652451247,0.1325872172851388,0.14596922227545925,0.15928202426259958,0.15574020960114218,0.13805951230610028,0.14823448927656038,0.14608518358006656,0.15581514818599698,0.11735501772789068,0.1439676582813263,0.14055058235923448,0.12968076608682932,0.1301484269020306,0.13859928476399389,0.15590256754131543,0.1590865866414138,0.12213597325442811
calming,0.09053295683588473,0.07444009176911191,0.09221654012799263,0.0904861095547676,0.08574532062827962,0.09937575066255198,0.08711333725262772,0.06973045784980059,0.06368917971849442,0.07785718079264227,0.09432073173797383,0.0728578558191657,0.0961655393242836,0.08394901389661043,0.09059665695979045,0.08761676318115658,0.09227827858439712,0.0854869346036887,0.06469555012881756,0.09243615120649337,0.09211696635343526,0.0846665379487806,0.08650525102773345,0.10034339755046659,0.09013059069501593,0.08787236523024644,0.09443249073228799,0.09500440852991639,0.09979159419607365,0.08458503615111113,0.09588322341442108,0.09333359271935794,0.08764861493900016,0.08944330276958895,0.09988184711512398,0.09840980836523139,0.09771046373579237,0.08569531489549012
complex,0.03230951963819463,0.02595213893800974,0.032043176935985684,0.03133073732616347,0.029682301498692613,0.037700332435114045,0.029754404741965355,0.022417375817894936,0.024258166551589966,0.026082505398754324,0.035587044609728447,0.028392459651262594,0.03605526126921177,0.03087643041353987,0.03270146848364947,0.03204455534617106,0.03314831186535543,0.030419451849373398,0.021280955895781516,0.03313903473317623,0.0320618662400653,0.02935038974450887,0.03012759715745144,0.03787053199257792,0.0335975078479299,0.03314473479986191,0.03494405804032629,0.03315304699284372,0.03524442525112141,0.02961160184569516,0.03178324624896049,0.0326914292258712,0.034098091594716336,0.03082912558724421,0.034210166144298344,0.03485566930889729,0.03611542729706299,0.029242426703113535
continuous,0.03138585816199358,0.025569458147915808,0.03257184219546616,0.030764631643567398,0.02950250858376766,0.036548330049429624,0.029539067840173107,0.021679621189832687,0.023288782685995102,0.026871912746449535,0.033673597506014855,0.026487966003859865,0.03532945103943348,0.030452108021606417,0.03163709075823828,0.03153725498666366,0.03273365862019684,0.030088413329303777,0.021637937054038048,0.030384871643036604,0.03198843047698838,0.02925535635084145,0.030001148575212102,0.03552473743480665,0.03330162189462606,0.03179539859687027,0.03334183161851109,0.03177243159778083,0.03420678786715569,0.028331812664444716,0.03221097998321056,0.03336614259303762,0.03143915934290024,0.029476161301136016,0.03330885126995735,0.03378374474736566,0.0350644898622535,0.02748605909303845
dangerous,0.252890693407988,0.19806717455387116,0.2697138637304306,0.2624767251068451,0.25568136121881635,0.29025490283966066,0.24081333867017773,0.15188512951135635,0.19240891933441162,0.19133844412863255,0.256643094375063,0.1985023256553256,0.27473198994994164,0.24337009274430813,0.24780866725647704,0.25007160510643417,0.2691187254140075,0.23983612602649595,0.17902621875206629,0.24174342304468155,0.2543167293756858,0.23882472620290868,0.24744957929751912,0.27259037560886806,0.2726342673554565,0.24115197488572448,0.24707485650925293,0.25483197957472087,0.26834824620653447,0.2118279977756388,0.24571416079998015,0.2479117101541272,0.22209390636001314,0.23746561233116234,0.2593543508223125,0.26807521173247584,0.25924793680508934,0.22375227407268855
delicate,0.09071869611641986,0.07412776294285836,0.09422239754348993,0.08960709522056473,0.08641208919276179,0.10168436496722989,0.08626047699146916,0.06684574112296104,0.06594841927289963,0.07604450531218243,0.09429407284356826,0.07434048529328971,0.09785709977149963,0.08685014863746075,0.090885865582095,0.08939952619116882,0.09251723001036075,0.08509845050714221,0.0652495265007019,0.09303989261388779,0.09304713127017021,0.0838455068952744,0.08648011030163616,0.1012546571645331,0.09325610057396047,0.08947161298833395,0.09622972200696285,0.09424191382196215,0.09980892457457244,0.0835249513949988,0.09568081796169281,0.09596842249818877,0.08953357005322521,0.08904837544720906,0.10000057499378155,0.09493141106249374,0.09932632562590808,0.08352842672617845
disorganized,0.05938425719967879,0.04700758078313889,0.05999172339215875,0.05914544429646309,0.057259046292880124,0.06754552830188047,0.05640502960886806,0.041243231389671564,0.043140966445207596,0.05050318088682219,0.06298597519334227,0.048229484144469786,0.0653395177796483,0.05654469376895577,0.05962511726344625,0.059142998456954955,0.06229076737404934,0.05683464709884663,0.040484394133090976,0.0609222948551178,0.060439326382410806,0.055339838986791026,0.057059674200528265,0.06627224111493597,0.0623253862250526,0.059261488378979266,0.061378460558074895,0.060875660121274086,0.0651070903876737,0.05268350742616743,0.061813005805015565,0.061623994918430555,0.06003455437244253,0.056974075804030674,0.06336123608052731,0.06338146731479843,0.06398357849481494,0.05427277434657338
