,a,e,i,j,k,l,m,n,o,p,s,t,t͡ɕ,u,w,ŋ,ɛ,ɯ,ʌ
abrupt,0.2751795743654172,0.22765066805813047,0.26729617839486436,0.25079333616627586,0.2623560262076995,0.2901265108222632,0.2728568944666121,0.3122776467749413,0.25313266726621125,0.2861441700039683,0.2730165347456932,0.26914690441141526,0.3148012891411781,0.26280026257723227,0.2510338135455784,0.27696014050808215,0.2613077753263971,0.29598533986684156,0.3143334245309234
active,0.12134391206006209,0.09699634048673841,0.11815370715755437,0.10594662630723582,0.11295598576688648,0.12776428510091806,0.11889631350835164,0.13424239878324754,0.11133345402777195,0.12729458551149112,0.11712190136313438,0.11627666643042056,0.13252076879143715,0.11352625116705894,0.10764742525000322,0.1185700978983093,0.10639064169178407,0.12602325677871704,0.13229965906412827
bad,0.029091102347053862,0.026430307577053707,0.031620826572179794,0.028279121592640878,0.02994228119496256,0.03309165968836009,0.02710668941338857,0.03467535882674415,0.029459163080900908,0.03083827383816242,0.029955887235701084,0.031128941553420032,0.036578266615314145,0.02924858915674336,0.027063607309873287,0.029873494897037743,0.0272165410220623,0.03333988402257947,0.037024701717827055
beautiful,0.11130907623252521,0.09428791163696183,0.11942228651008545,0.12259007493654887,0.11161522586321966,0.1250136753751172,0.11628995007938808,0.13166253551326948,0.11416262447834015,0.12289033532142639,0.11468031443655491,0.11297639389522374,0.131100815649216,0.11795054712834266,0.10835315982500712,0.1080562526295925,0.10377678678681453,0.12430505781638913,0.1340946688296947
big,0.1449995406553255,0.1184063064865768,0.14265183011150878,0.13396999364097914,0.1391076705320764,0.1586521776172064,0.14340930698173388,0.16388855750362077,0.13729058247473505,0.15478992685675622,0.14332427829504013,0.14152096125676675,0.15957247071406422,0.1383251115577678,0.14123907685279846,0.14974920807489708,0.1370169734582305,0.15637375357059333,0.16682861367268348
calming,0.08311434675540243,0.0898794595684324,0.09004918858408928,0.08284745862086614,0.0850478026923942,0.09302252501249314,0.08528892382195122,0.09676325760590725,0.07799788679750193,0.08841541196618762,0.09264572896063328,0.08475941215597448,0.09683397635817528,0.08551268928656072,0.0812675035313556,0.09032710281721616,0.08415250361643055,0.09934190347790718,0.1034229933151177
complex,0.03133873134230574,0.02747282137473424,0.032251433581756105,0.031486704324682556,0.03101914085266067,0.03377368451000597,0.031539260596036914,0.034709558564614745,0.030037813883085372,0.03141338408396051,0.03277104161679745,0.030403234324127924,0.039586310554295775,0.031207076422023503,0.0295917830969158,0.034203344905698624,0.03030290345971783,0.03526812485035728,0.03739327806535931
continuous,0.030185646551350753,0.026594869792461395,0.031164012849330902,0.030334055216776,0.029678509269347963,0.032822924935700076,0.030131199666195447,0.033942274828540515,0.029023951614054584,0.030756583286298288,0.03198220022022724,0.0305382763966918,0.03715447541326285,0.03030885060200061,0.02900345103913232,0.0325524963490251,0.029555926099419594,0.03416629053433152,0.03556832128670066
dangerous,0.253000327311028,0.2473812609910965,0.24629081237842054,0.22635007011038916,0.24012890188344593,0.2713066731393337,0.2377654675926481,0.28811239989267456,0.2304062497539398,0.2674640456312581,0.23473935822645822,0.25369342094337616,0.2743235886096954,0.23687666349235129,0.22909943635265032,0.24609469446268947,0.2274174228310585,0.27408004915991496,0.2905645684358921
delicate,0.0850776610570354,0.08020174834463331,0.08907131105661392,0.08629442472010851,0.08546914091987136,0.09303630958613637,0.08604628681426957,0.09806932641400232,0.08200207071607574,0.08727544556195671,0.09107191301882267,0.08615718378374974,0.10284856855869293,0.08423116940191422,0.08076158342392821,0.090626660533048,0.08596985011051099,0.09842131172235195,0.10141726286106166
