,ŋ,ɡ,ʃ,l,m,k,b,ɪ,θ,s,o,d,v,ð,f,ʊ,j,ɑ,ɹ,ʌ,w,h,ɔ,ə,ɛ,z,a,e,u,i,æ,t,p,n
good,0.14340265095233917,0.14558449760079384,0.06690622121095657,0.10586710789186113,0.04494516568427736,0.09606384661876494,0.09081975583519254,0.11807944718748331,,0.07630063104443252,0.13931412622332573,0.11397367219130199,,,0.06909570967157681,,0.05348353926092386,0.06818138861230441,0.12804701179265976,0.06390010379254818,0.08115230890160258,0.06708731316030025,0.11425358057022095,0.12667221372777765,,0.024559378623962402,0.07217473722994328,,0.07160834700334817,0.044671981036663054,0.029044225811958313,0.08663246144230168,0.044995784759521484,0.03626242280006409
beautiful,0.11456971243023872,0.14808328449726105,0.06158825233578682,0.10137417717348962,0.03424923815247086,0.08410757015060101,0.09869586490094662,0.10833012674222975,,0.07751409010961652,0.08123069629073143,0.08608948113396764,,,0.08632405567914248,,0.026717684231698513,0.06346631795167923,0.08778262380510568,0.052409741282463077,0.06385370710243782,0.0315638929605484,0.0849189180880785,0.12448624724691565,,0.024028880521655083,0.0633859671652317,,0.055741893406957385,0.03477315123503407,0.11974398046731949,0.07323746447218582,0.09816527340028967,0.03494782870014509
ugly,0.10295979390221258,0.0982149842850588,0.09242729791279497,0.09647649669445547,0.0910767269570653,0.08421554533410663,0.09182845558537993,0.09829668120409434,0.10345899934569995,0.09423921788218377,0.0828970457342538,0.09720995815263854,0.09306836128234863,,0.09159443256993817,0.10433809906244278,0.08151044739886772,0.09397441446781159,0.09646730071090791,0.10315114804716022,0.07809591000970406,0.08369135189997523,0.08482941579731072,0.10727825537323951,0.10888930681076917,0.08793143245081107,0.07782121510668234,0.094317002967,0.06552590355277062,0.08235072651330162,0.08842196833433175,0.10368320622271107,0.09399195745179098,0.09737034124277887
pleasant,0.11080038336955983,0.08328089800973733,0.03975967541337013,0.09861978177319873,0.0559840841512931,0.0791208340600133,0.08251032031451662,0.10139321694150567,,0.0785102200590902,0.10868413746356964,0.10246273015554135,,,0.06086449035339885,,0.04710948866392885,0.07503077660042506,0.08925111070275307,0.06366666574031114,0.06764161791051587,0.04563308693468571,0.08547560218721628,0.1137810179396816,,0.06318522617220879,0.07642264245077968,,0.051291490400520466,0.05433952738530934,0.08177115448883601,0.08224063601699613,0.08128064743835818,0.07803469593636692
unpleasant,0.10037830485789864,0.09877781699778455,0.08586922238924001,0.09525571803572358,0.08868580563710286,0.08613363347496047,0.09262451051901548,0.09390920355588525,0.09547664523124695,0.0906764897771857,0.08181260567572382,0.09587306985932012,0.07979307075341542,0.08909541368484497,0.08847117489945572,0.0974608302116394,0.08148939616716745,0.09134404924274846,0.0949284711207908,0.09823311051847983,0.07641812865140624,0.08079053709904353,0.0857780792496421,0.10728819215217152,0.09730991069227457,0.08280840329825878,0.07635921663181348,0.08946769994994004,0.06300318231567359,0.07515404280275106,0.08772088389681733,0.09762091827717158,0.08776375394343405,0.0941004065460846
strong,0.12000408861786127,0.10530666806095955,0.07738179748726857,0.10755545433472705,0.07013172664223834,0.0984493525995111,0.10887923755381308,0.11110853208228946,0.09311634195702416,0.09954867809527106,0.08515435423363339,0.1120918391065465,0.0648840069770813,,0.09208306688815356,0.04410921037197113,0.06911686395760626,0.10358199443122963,0.1154819562099874,0.11251871799489102,0.0737993115138623,0.08395707048475742,0.08962877298749629,0.1382124709473415,0.11031412854790687,0.0774234239012003,0.06852592352347878,0.10273225139826536,0.06778219364946936,0.08631688507054658,0.08891911775458093,0.11834938625494638,0.09172907794037691,0.10478715370926592
big,0.12953805488844714,0.1161199806107057,0.09010598141896098,0.1193551683279964,0.0809707898646593,0.11707158026195341,0.12987186916341836,0.14756602079917988,0.11538893676229886,0.11272723856382072,0.09431723824569158,0.13009970660867362,0.0299456175416708,,0.09707199765576256,0.040995944291353226,0.07989558298140764,0.11337550202349447,0.1246808401224288,0.132310498328436,0.07224993711480727,0.09567693571903203,0.09953259006142616,0.15513178804779754,0.15124356374144554,0.12242682402332623,0.07285017957910896,0.12208137661218643,0.06785848938549559,0.11899355767915647,0.09462493650304775,0.1342961594271354,0.10691307972777973,0.13623494066690145
rugged,0.2472401700913906,0.23201248005254946,0.18284652216566932,0.23497145137814587,0.18205331520814644,0.21337466689481124,0.23524431139230728,0.27368141938064056,0.22707440704107285,0.22778122689988878,0.17182500080929863,0.24046329389277257,0.18967240676283836,,0.20053871529120387,0.2152485504746437,0.16385507416360232,0.218091284578785,0.26000690367897,0.2500173371528911,0.170130643599595,0.18536150952180228,0.18912444189190863,0.3041139416969739,0.26279808146258193,0.18785518997659287,0.15866818330411253,0.25444043841626907,0.1357139170360871,0.20108707801949594,0.1969409796098868,0.2691759222991837,0.2015694056728245,0.25513926645119983
delicate,0.08955949358642101,0.0786238828053077,0.07278079495710485,0.07910841644936523,0.06869145446434254,0.07140821554734335,0.07540313154459,0.07935280431756529,0.09485611319541931,0.0726431670502342,0.07823124527931213,0.08359172721119489,0.08325407654047012,0.07999177277088165,0.07555101066827774,,0.06902060962536118,0.07343139233333724,0.07742797546088695,0.07420847816644488,0.06321324830624594,0.06336440545107637,0.06875848790837659,0.088164019937578,0.07417959533631802,0.06755945052612912,0.07889672775160182,0.06517647113651037,0.0555894706930433,0.05759005966995444,0.07928543803947312,0.07489920889252219,0.07601038833567197,0.07897796096472905
active,0.10199246739443296,0.08953334560225669,0.06761382252443582,0.09318095759475885,0.06699329763068818,0.08311687462321184,0.08912832607564174,0.09271510275640736,0.09374188342028195,0.08739088517577612,0.06893954439354795,0.10251802537681126,0.08970300555229187,,0.07865366615442326,0.10020138835534453,0.063437527434817,0.08565653301775455,0.09624029350522746,0.09633400597799141,0.06433005696987804,0.06417083022434537,0.07341656837936329,0.11857757997622184,0.08619145179788272,0.052049578612913254,0.06532427450375898,0.0991627083470424,0.05393845304990044,0.06473126281886848,0.0770373870271133,0.0960462005251152,0.07707000487985519,0.0927259552691664
