,d,v,ɥ,b,n,k,p,ɔ,o,j,z,a,ɲ,l,ɡ,ɛ,e,ŋ,s,f,ə,u,ʀ,i,m,ʒ,t,ʃ,w
abrupt,0.2873811298567388,0.14459633697257485,0.1778929923419599,0.20018145424946573,0.2376615899127154,0.20756424015273361,0.1821596242212755,0.2129535008682294,0.11696422244939539,0.18647984655884406,0.13695672451442964,0.20270165720106106,0.22894066385924816,0.2025997096406562,0.25350797526602054,0.19052312632693963,0.1642600787182649,0.1338423378765583,0.1785142303680081,0.1396801938972203,0.23230934797996475,0.14720744272926822,0.2139778652221617,0.18164782209983357,0.1996448113652015,0.22465305030345917,0.21002912772621246,0.1904784541136475,0.13714789534526423
active,0.11548855067748162,0.059645939964887706,0.07103796937951336,0.07607981282495713,0.10148491395548695,0.08668574390104403,0.07826793520852993,0.08877608205160398,0.04686480022414967,0.07723690092097968,0.05391336654036029,0.08495866146771923,0.09543471015058458,0.0862700501279462,0.1032626276551667,0.07598926970625625,0.06519763078540564,0.049478194676339626,0.07394417007285428,0.05900226619996829,0.09399735846466595,0.06068777016756174,0.08785976887592216,0.07626991728938656,0.08242636737931106,0.0947849228978157,0.09066939413871454,0.07887145138836356,0.055900062773038044
beautiful,0.11911248187111183,0.05257579473157724,0.0941561416589788,0.09179035258421209,0.09628166200127453,0.08075758912261354,0.07426015777951654,0.08361019771546126,0.02023170722855462,0.08799700163628744,0.06778618842363357,0.08521704732199309,0.10338367559015751,0.08377061841416765,0.09578116805189185,0.07490724169959624,0.10959803623457749,0.022892337292432785,0.07690544619203307,0.05666791557593912,0.10191291436553002,0.061113906976504206,0.08401935143643115,0.07833917576165216,0.08583345465277406,,0.09066806606088694,0.08015147555205557,0.054266542319537085
big,0.15022983612573665,0.07123423020380575,0.08524733544750647,0.11274548200890422,0.12558914885784572,0.10915710634957904,0.09306775707712707,0.10773722903772456,0.057888941187411544,0.08886566061388564,0.07715323650544244,0.10770883006472631,0.08224249677732587,0.1066148710329065,0.139106252292792,0.1206009251375993,0.12435346469283104,0.06846118345856667,0.08603527315426618,0.06466143402270973,0.1184091916307807,0.08002452576887205,0.11171189649692644,0.09537745989450996,0.0990410079694774,,0.10969650285432533,0.09826980717480183,0.06944662519740034
dangerous,0.27604046768762847,0.13144409898668527,0.17861107579971613,0.17989902574765054,0.26300941705703734,0.18578561630177623,0.17466994760365323,0.20393067046201654,0.11882642830411592,0.17729829479422834,0.12940967111633375,0.17617420473622408,0.1966817593201995,0.18417815200256227,0.23525184790973794,0.17238798116644224,0.1844708975404501,0.08643435686826706,0.1923949766974404,0.13129828227818877,0.2229959847913547,0.13433308708519975,0.19434530155104437,0.17530804731779628,0.17273455373942853,,0.19804607451272507,0.17950469017028808,0.1178245847595149
exciting,0.25371409321410787,0.13000192397902177,0.16146844846230965,0.17188094000542356,0.2253893293822423,0.18898799566039504,0.16946088054350444,0.19155991549898937,0.10286272661044048,0.16436523486944762,0.12468965583153672,0.1804201968083594,0.20854110503569245,0.186558376423162,0.22956528310227184,0.18669012983640035,0.1583304689931018,0.11897907964885235,0.1690776405731837,0.13039234919427348,0.212410629932153,0.13525285988839136,0.19372062801190143,0.1690520551456718,0.18207302936675526,,0.19363374702794398,0.17716860741879162,0.12608983046805658
fantastical,0.12263551520536074,0.07153566545525263,0.11791959763677032,0.10136562804798134,0.11540900492532687,0.10307481442127497,0.10763176405278768,0.11197307111507052,0.07918678556701966,0.09313399101398429,0.08503733565275734,0.10121326704393141,0.10973390936851501,0.1046436144547029,0.11928113085864964,0.10390511396176674,0.08417984942595164,0.09935932606458664,0.10120221097246711,0.092143851110623,0.11331724045017073,0.08749412635612923,0.10652234532616356,0.09800874402443337,0.09902787044305693,0.09945625811815262,0.10675362657676352,0.1067209052357902,0.08535202233936669
fast,0.14016500429383347,0.0698117596528879,0.08397683363569819,0.0974167605509629,0.12589659146738774,0.10621419190893094,0.09882482677554162,0.11458833932000048,0.06116882379612197,0.08479700522730127,0.06783194469942434,0.10401182896815814,0.08055804576724768,0.10845953762531281,0.12831041946805813,0.09753069532318757,0.06942371363666924,0.06263613561168313,0.09254741467731564,0.08120392568501805,0.11198925572292258,0.07745731048454337,0.1060298852622509,0.09465819725889073,0.09340288382159864,0.11775465309619904,0.11135332368954814,0.10169047160217395,0.07408557839405078
feminine,0.08929835557937622,0.05461204627200084,0.07196361447374026,0.07445617758909638,0.07936000137736923,0.07096519348535525,0.07159237028099597,0.08154756661194067,0.057879911619238555,0.06551690399646759,0.06230922010929688,0.07105642988449998,0.04381430521607399,0.07043199909767553,0.08521916848993061,0.08034243807196617,0.07896677777171135,0.06477952282875776,0.06540395533666014,0.05885528552938591,0.08260231542176213,0.062103728654685324,0.07377611837360297,0.06997270887401306,0.06937610477966777,,0.07419793560984544,0.07214507762471149,0.05908232021790284
good,0.15485378001865588,0.054702610575727055,0.07197136835505565,0.0918370923632151,0.10033130625055896,0.07965686989306402,0.07377486589830369,0.07940301208967163,0.02151168417185545,0.09290096703916788,0.07182515065731673,0.08428756956655149,0.10632365631560485,0.08914002088400033,0.11125503010892619,0.07047627152254184,0.02868814766407013,0.025097740814089775,0.07911005656784162,0.05671499750536421,0.09924139014699242,0.05383415447305078,0.08373759583906924,0.07716916377770983,0.0829567068171772,,0.08170687097349558,0.0811119622950043,0.04720484894736634
