,ʌ,w,p,e,a,u,m,s,ŋ,n,i,j,t,l,ɯ,k,o,ɛ,t͡ɕ
abrupt,0.3143334245309234,0.2510338135455784,0.2861441700039683,0.22765066805813047,0.2751795743654172,0.26280026257723227,0.2728568944666121,0.2730165347456932,0.27696014050808215,0.3122776467749413,0.26729617839486436,0.25079333616627586,0.26914690441141526,0.2901265108222632,0.29598533986684156,0.2623560262076995,0.25313266726621125,0.2613077753263971,0.3148012891411781
big,0.16682861367268348,0.14123907685279846,0.15478992685675622,0.1184063064865768,0.1449995406553255,0.1383251115577678,0.14340930698173388,0.14332427829504013,0.14974920807489708,0.16388855750362077,0.14265183011150878,0.13396999364097914,0.14152096125676675,0.1586521776172064,0.15637375357059333,0.1391076705320764,0.13729058247473505,0.1370169734582305,0.15957247071406422
dangerous,0.2905645684358921,0.22909943635265032,0.2674640456312581,0.2473812609910965,0.253000327311028,0.23687666349235129,0.2377654675926481,0.23473935822645822,0.24609469446268947,0.28811239989267456,0.24629081237842054,0.22635007011038916,0.25369342094337616,0.2713066731393337,0.27408004915991496,0.24012890188344593,0.2304062497539398,0.2274174228310585,0.2743235886096954
exciting,0.28255463859864643,0.22624111802954422,0.2569380072610719,0.25264724024704527,0.2381222933029928,0.2372205751863393,0.23851623974348368,0.24612577259540558,0.242708314273317,0.28050043070927644,0.25559444689169164,0.22682028429375756,0.2385623043491727,0.2657713683843613,0.2688461184501648,0.2357430642493713,0.22357722974958874,0.23001385107636452,0.26411986649036406
fast,0.1572961848643091,0.1304267546848247,0.14812853598389134,0.11470781763394673,0.13924010334586776,0.135063097323291,0.1384314644981075,0.1410386636853218,0.14047218078658694,0.158050339032964,0.13360658148303628,0.13229817850515246,0.13562027851537783,0.14970189927701363,0.15149453099893065,0.133793424479432,0.12711523943825773,0.12789738483049654,0.1577928337980719
happy,0.1445407946320141,,0.1309194564819336,0.051880933344364166,0.1270338150069994,0.13116023316979408,0.10669632256031036,0.10727441310882568,0.12785265616634311,0.13563157059252262,0.12306156577098937,0.12330035865306854,0.11726548559963704,0.12992620437729116,0.13051922898739576,0.11645145593211055,0.11484949207968181,0.10511368471715185,0.13079999685287474
hard,0.16333470529034025,0.1326877600268314,0.14821598860057625,0.11822477935089006,0.14197085576353374,0.1372494882968969,0.14165095798671246,0.14311263337731361,0.1483443030347563,0.1618176860941781,0.14640820130275992,0.12947170270813835,0.13862806416542853,0.15393840348878443,0.15493227394692827,0.13650564162886328,0.1360511808541783,0.1327146973622882,0.16450971944464576
harsh,0.2998157971235643,0.24623914925675644,0.2658285635548669,0.21944591237439048,0.2576765874904153,0.24911892080101475,0.2553408027372577,0.2658228278160095,0.2705188432376679,0.29861915890466084,0.2661419763879956,0.24564017521010506,0.25272877289560336,0.28001843049730124,0.2866939728458722,0.25137826858671625,0.24904276705101916,0.25044328363045404,0.2985153906047344
heavy,0.15415780848035446,0.12893114282804377,0.13755702107183396,0.10884700384404924,0.13206193034726005,0.1274309253367858,0.13102362360805273,0.1343657150864601,0.14315143686859574,0.1528371675786647,0.13225723589615276,0.12260488689773613,0.12953592222183943,0.14541572680075962,0.1460650996083305,0.1267132049445839,0.12528160601281202,0.12569801565259694,0.15191709332995945
inhibited,0.30108970687502906,0.24477292832575345,0.2746490232042364,0.22293823377953637,0.25984886050224304,0.2511366234922951,0.2582834982209735,0.26354921609163284,0.2661496004829668,0.32037505951333556,0.2801847938847329,0.2468843451804585,0.25905619077384473,0.2862079332466998,0.2939709287081192,0.2537554740135012,0.24989570232859828,0.24571821417497552,0.3037868648767471
interesting,0.19528694152832032,0.15303139506201996,0.169449021711069,0.14067516196519136,0.15927665043845135,0.1583136052445129,0.16386032418200844,0.16552241891622543,0.16268368254578303,0.19578926659682216,0.17275295822935946,0.15913268132135272,0.16038929497202237,0.1783089076515532,0.18571444346410473,0.15782782998867334,0.15712937113383543,0.15485840355572494,0.1870881743155993
masculine,0.35324594847582,0.2993115014151523,0.32471235692501066,0.1671738289296627,0.31278782744744893,0.31593995177083545,0.2996890219775113,0.3094252447287242,0.3155844782789548,0.35407044291496276,0.3245347486092494,0.32392073954854694,0.30430000030901283,0.34405406818670387,0.3384610008862283,0.30208950941409685,0.2951708329984775,0.28972619859611287,0.3472513622707791
nonsolid,0.1517031679793102,0.1223048967750449,0.13729366966906717,0.11955946104394065,0.12565164731091094,0.12766472068290377,0.1251656100153923,0.13586997985839844,0.13890599531845915,0.14918633359364974,0.1325183145853938,0.12244270245234172,0.12930892919332293,0.13985819583172565,0.1440188301494345,0.1263101779860664,0.12569312513508696,0.12283617427403276,0.15077973074383205
realistic,0.2579453518348081,0.20643646073968788,0.2297216375937333,0.1901614632871416,0.22057235067257205,0.21113948769528756,0.21907673539085823,0.2229973003268242,0.22336561716086156,0.2616565886471007,0.22068558766373567,0.20689612130324045,0.2189982028403243,0.24035174967959905,0.2439305963104262,0.2133858346076,0.20919812003434715,0.2119422840575377,0.2505729205906391
rugged,0.32822324034003986,0.26975544110724803,0.2953730112797505,0.23611310124397278,0.2870218617828576,0.2750831384254598,0.28788684698797407,0.292809896171093,0.2948725686685459,0.3320844213167826,0.2896049458671499,0.270972179248929,0.2793716205904881,0.3098686530992582,0.31996136124317465,0.27760528644342075,0.2729745713765161,0.273368158377707,0.3292252153158188
sharp,0.1544260573351667,0.12302672819179647,0.14230392329596184,0.11131290098031361,0.1342294741013687,0.13000506803739903,0.13241219684118177,0.1355999130755663,0.13843962262783732,0.15270333753331847,0.13621215854178775,0.12390507302350467,0.13122298944069713,0.14533858890614368,0.14697007552692384,0.12888932413421572,0.12867564704545117,0.1243201516892599,0.1570709389117029
solid,0.14901834072136297,0.11720247645127146,0.1396223981590832,0.10916393622756004,0.12681252791339326,0.12681107807817849,0.1266475485637784,0.13000627048313618,0.13273498033069903,0.1497225719384658,0.13088661173776706,0.1134856842044327,0.12562462106599645,0.1451153332120055,0.14036345551721752,0.12408775585601155,0.13149298897924575,0.11893956481733105,0.14513377017445034
strong,0.15322201947371164,0.12569752296334818,0.13572258353233338,0.10706373097168075,0.13258496770014366,0.12710800816759812,0.12904447068770727,0.134962048381567,0.14141884093751778,0.1476578584059756,0.13340626706901407,0.12112800321645206,0.1300146803565201,0.1451608274380366,0.14424296262172553,0.1258550160355977,0.1253691649892264,0.12684598611667752,0.15064061395823955
tense,0.35150539928248953,0.275379216200427,0.3212796187884099,0.25609762718280155,0.3156047459019141,0.29548333809626376,0.303787805494808,0.3170967400074005,0.31558609294564754,0.35388251145680744,0.3136905802206861,0.2778212908241484,0.3174359280616045,0.33039286606062473,0.33860906313604383,0.2980776707632373,0.29442126513050315,0.283712270791116,0.36641238033771517
