semantic_dimension,original,original_and_audio,ipa,ipa_and_audio,audio
simple-complex,0.5200410247813271,0.46759227062088354,0.505325541972788,0.47212571555486366,0.4322397857987565
abrupt-continuous,0.7043064612454075,0.6953228653121786,0.5574403864710539,0.5745270534367977,0.6485668796856981
exciting-calming,0.6386775463841103,0.5508958295401776,0.49938602418115324,0.5368061325183856,0.5234387876573732
realistic-fantastical,0.3084517983304059,0.27898443556281916,0.1293835228224749,0.2998690040595284,0.327193631949006
ordinary-unique,0.5591058087342428,0.551043526019625,0.5346367001531335,0.5602906911737736,0.4723267685939692
sharp-round,0.7078409163962448,0.6795395388929492,0.6889798135531486,0.6699861360719549,0.6132053609341289
strong-weak,0.6726272301601708,0.607107184235975,0.47342998137495224,0.48908860604332133,0.5745243641556262
hard-soft,0.6505774895304011,0.5770210609450636,0.5410210968080618,0.4646093295913248,0.5735926288303956
harsh-mellow,0.652643800522679,0.56562161160873,0.5497273206420319,0.5139663724053489,0.5404426551817056
inhibited-free,0.6263378632370651,0.5226055153950336,0.47803343663252235,0.4231257000408854,0.4955679210869005
tense-relaxed,0.6966463922650457,0.5916778166583037,0.5148392923863655,0.4581530714584518,0.5951135036632288
happy-sad,0.6238369699128289,0.5377335040565974,0.47149664336036495,0.5238459492709819,0.5486318249623093
big-small,0.5670263785636956,0.4854924792758913,0.5345632849859849,0.4584817384530434,0.5238639355271775
fast-slow,0.6568079520414107,0.5899322159346347,0.5010158282669679,0.5083373834720152,0.5550956771132749
heavy-light,0.6631801424155245,0.5984998171532296,0.5268393980727637,0.4896145286770738,0.5323321974350386
dangerous-safe,0.5185432612467671,0.38845795886429657,0.4001002973817305,0.37527759933333293,0.40736478630392253
solid-nonsolid,0.6442045430941075,0.5619456300583954,0.5298184912829061,0.4717459536118038,0.5640743479866912
beautiful-ugly,0.6565671526909299,0.5740068417276979,0.4530450873602344,0.4523756234892493,0.48801978708584665
masculine-feminine,0.6418387291127274,0.5948290728182744,0.6000045769046977,0.7105731204403167,0.6906871728106783
delicate-rugged,0.48360771268505715,0.479533205881009,0.4958296238039866,0.4952004887740254,0.4793704047732915
passive-active,0.5626837559341752,0.4253072187023298,0.5715674090290063,0.41809685158351156,0.4737867180269049
