semantic_dimension,original,original_and_audio,ipa,ipa_and_audio,audio
simple-complex,25,24,12,13,25
abrupt-continuous,3,3,3,3,2
exciting-calming,15,14,21,5,15
pleasant-unpleasant,16,23,16,25,24
realistic-fantastical,27,27,27,26,27
ordinary-unique,22,10,7,4,22
sharp-round,2,1,1,2,3
strong-weak,5,6,18,12,10
hard-soft,12,15,5,15,9
harsh-mellow,11,7,2,8,13
inhibited-free,18,13,17,20,20
tense-relaxed,4,4,10,17,6
happy-sad,17,11,20,7,8
good-bad,9,16,19,23,16
structured-disorganized,10,18,26,27,19
big-small,20,21,9,16,14
active-passive,19,19,24,22,11
fast-slow,7,9,15,9,5
interesting-uninteresting,23,20,22,18,18
heavy-light,6,8,13,11,12
dangerous-safe,24,25,25,24,26
rugged-delicate,1,5,8,6,4
solid-nonsolid,13,17,11,14,7
beautiful-ugly,8,12,23,19,21
masculine-feminine,14,2,4,1,1
delicate-rugged,26,22,14,10,17
passive-active,21,26,6,21,23
