semantic_dimension,original,original_and_audio,ipa,ipa_and_audio,audio
simple-complex,19,18,11,12,19
abrupt-continuous,2,3,3,3,2
exciting-calming,12,13,18,5,13
realistic-fantastical,21,21,21,21,21
ordinary-unique,17,9,7,4,17
sharp-round,1,1,1,2,3
strong-weak,4,5,16,11,9
hard-soft,9,14,5,14,8
harsh-mellow,8,6,2,7,11
inhibited-free,14,12,15,18,15
tense-relaxed,3,4,9,16,5
happy-sad,13,10,17,6,7
big-small,15,16,8,15,12
fast-slow,6,8,14,8,4
heavy-light,5,7,12,10,10
dangerous-safe,18,19,20,20,20
solid-nonsolid,10,15,10,13,6
beautiful-ugly,7,11,19,17,16
masculine-feminine,11,2,4,1,1
delicate-rugged,20,17,13,9,14
passive-active,16,20,6,19,18
